name,location,property_status,property_type,property_size,price,bedrooms,bathrooms,Pool,Latitude,Longitude,link
Boegoeroei Residence,Noord,New Listing, Residential,568 m² (6.114 Sq Ft),550.000,5,3,Yes,12.555698990599666,"-70.03299867273907
                                        ",https://kw-aruba.com//listings/boegoeroei-residence
CUNUCU ABAO,Noord,New Listing, Residential,622 m² (6.695 Sq Ft),535.000,5,3,No,,,https://kw-aruba.com//listings/cunucu-abao-2
Marawiel 13-A,Ayo,New Listing, Residential,1000 m² (10.764 Sq Ft),533.709,4,4,Yes,12.543214640345393,"-69.9903934595108
                                        ",https://kw-aruba.com//listings/marawiel-13a
Italiëstraat 10,Oranjestad,New Listing, Residential,1101 m² (11.851 Sq Ft),528.090,4,3,No,12.529233119177299,"-70.04875296325683
                                        ",https://kw-aruba.com//listings/italiestraat-10
Ierlandstraat Residence,Oranjestad,Under contract, Residential,1588 m² (17.093 Sq Ft),498.000,5,5,Yes,12.53110783908467,"-70.04704707832336
                                        ",https://kw-aruba.com//listings/ierlandstraat-Residence
Pavia 195,Paradera,Sold, Residential,778 m² (8.374 Sq Ft),485.000,4,3,Yes,12.522422744040114,"-70.00372940273284
                                        ",https://kw-aruba.com//listings/pavia195
Opal 97,Noord,Sold, Residential,669 m² (7.201 Sq Ft),477.530,3,2,No,12.588212176863175,"-70.03937596054077
                                        ",https://kw-aruba.com//listings/opal-97
Paradera 164-A,Paradera,Under contract, Residential,1764 m² (18.988 Sq Ft),477.528,4,4,No,12.530468969586066,"-70.00077360839843
                                        ",https://kw-aruba.com//listings/paradera-164-
Daimari Water Villas,Noord,Sold, Residential,171 m² (1.841 Sq Ft),469.775,2,2,Yes,12.58173058795631,"-70.03668302268981
                                        ",https://kw-aruba.com//listings/daimari-water-villas
Sabana Liber 41T,Noord,,,472 m² (5.081 Sq Ft),450.000,2,2,No,,,https://kw-aruba.com//listings/sabana-liber-41t
Tanki Leendert 112a,Tanki Leendert,Sold, Residential,1039 m² (11.184 Sq Ft),449.000,4,3,Yes,12.539711476501427,"-70.01918429107663
                                        ",https://kw-aruba.com//listings/tanki-leendert-112a
Palm Beach 6-C,Noord,New Listing, Residential,221 m² (2.379 Sq Ft),446.500,4,4,,,,https://kw-aruba.com//listings/palm-beach-6-c
Cashero 37-E,Ayo,New Listing, Residential,736 m² (7.922 Sq Ft),439.000,4,2,Yes,12.522969989594126,"-69.97845762939453
                                        ",https://kw-aruba.com//listings/cashero-37-e
Gasparito 7-C,Palm Beach,Reduced in price, Residential,571 m² (6.146 Sq Ft),435.000,3,2,No,12.56246809936565,"-70.04312568874359
                                        ",https://kw-aruba.com//listings/gasparito-7-
Safir 48,Noord,Sold, Residential,800 m² (8.611 Sq Ft),429.000,5,2,Yes,12.593070643413853,"-70.03713363380432
                                        ",https://kw-aruba.com//listings/safir-48
Esmeralda 113-D,Noord,Sold, Residential,752 m² (8.095 Sq Ft),425.000,3,2,No,12.59532445898665,"-70.0398319360733
                                        ",https://kw-aruba.com//listings/esmeralda-113-d
Bloemond 28K,Paradera,Sold, Residential,613 m² (6.598 Sq Ft),425.000,4,3,No,12.536449145059464,"-69.99540919036865
                                        ",https://kw-aruba.com//listings/bloemond-28k
Washington 52-H,Noord,New Listing, Residential,497 m² (5.350 Sq Ft),425.000,4,3,No,12.556944069631983,"-70.03814214439392
                                        ",https://kw-aruba.com//listings/washington52h
Ierlandstraat Residence 21,Oranjestad,Reduced in price, Residential,893 m² (9.612 Sq Ft),421.349,4,3,No,12.530804114438427,"-70.0470363494873
                                        ",https://kw-aruba.com//listings/ierlandstraat-residence-2
Salina Cerca 1-J,Noord,New Listing, Residential,535 m² (5.759 Sq Ft),421.348,4,3,,12.576358807861533,"-70.03528827400207
                                        ",https://kw-aruba.com//listings/salinacerca-1j
kibrahachastraat 14,Oranjestad,New Listing, Residential,891 m² (9.591 Sq Ft),421.000,5,4,No,12.532427466150478,"-70.02952688903808
                                        ",https://kw-aruba.com//listings/kibrahachastraat-14
Seroe Blanco Home,Oranjestad,New Listing, Residential, m² (0 Sq Ft),407.304,0,0,,12.526557168543404,"-70.02298766345977
                                        ",https://kw-aruba.com//listings/seroe-blanco-home
Caya Frere Bonifacius 3,Oranjestad,,,696 m² (7.492 Sq Ft),400.000,7,4,No,12.534637302694176,"-70.03774517745971
                                        ",https://kw-aruba.com//listings/caya-frere-bonifacious-3
BUSHIRI 110,Eagle Beach,New Listing, Residential,705 m² (7.589 Sq Ft),399.000,3,2,No,12.541942196207975,"-70.05075925559997
                                        ",https://kw-aruba.com//listings/bushiri-110
Tanki Flip 3-A,Noord,,,889 m² (9.569 Sq Ft),393.259,5,5,No,12.544670350617798,"-70.03102892608642
                                        ",https://kw-aruba.com//listings/tanki-flip-3-
Apartment complex Bubali 79-D,Eagle Beach,Sold, Residential,609 m² (6.555 Sq Ft),389.000,8,6,No,12.55045645575919,"-70.04309350223541
                                        ",https://kw-aruba.com//listings/apartment-complex-bubali-79-d
Kudawecha 63-B Apartments,Noord,,,829 m² (8.923 Sq Ft),385.000,7,6,No,12.557043555576563,"-70.01231783599853
                                        ",https://kw-aruba.com//listings/kudawecha-63-b-apartments
Caya Luna 46,Oranjestad,Sold, Residential,716 m² (7.707 Sq Ft),385.000,4,3,Yes,12.523477958112434,"-70.01951152057647
                                        ",https://kw-aruba.com//listings/caya-luna-46
Morgenster 43I,Santa Cruz,New Listing, Residential,680 m² (7.320 Sq Ft),382.023,4,3,No,12.518330148382224,"-70.00464671821594
                                        ",https://kw-aruba.com//listings/morgenster-43i
Cochinilla 28,Santa Cruz,Under contract, Residential,557 m² (5.996 Sq Ft),370.000,3,3,No,12.507374345809481,"-69.98893165559768
                                        ",https://kw-aruba.com//listings/cochinilla-28
Wayaca Residence 497,Oranjestad,New Listing, Residential,533 m² (5.737 Sq Ft),365.168,3,0,No,12.502493312782892,"-69.99852591724395
                                        ",https://kw-aruba.com//listings/wayaca-residence-497
ON HOLD Bloemond 28-E,Paradera,,,463 m² (4.984 Sq Ft),365.000,5,3,Yes,12.537266040918663,"-69.99532335968017
                                        ",https://kw-aruba.com//listings/bloemond-28-e
Sabana Liber 89-Z,Noord,Sold, Residential,669 m² (7.201 Sq Ft),365.000,3,2,No,12.561248110590933,"-70.0202357170105
                                        ",https://kw-aruba.com//listings/sabana-liber-89-z
Caya Luna 24,Oranjestad,Sold, Residential,707 m² (7.610 Sq Ft),358.989,3,2,Yes,12.522891437672076,"-70.02071851463317
                                        ",https://kw-aruba.com//listings/caya-luna-24
