name,location,property_status,property_type,property_size,price,bedrooms,bathrooms,Pool,link
House For Sale - Mississippistraat (reduced),San Nicolas,For Sale,,,"USD 126,405 ",,,,https://www.casnan.com/listing/aruba/house-for-sale-mississippistraat-reduced/5762
House For Sale - Mabon*,San Nicolas,For Sale,,,"USD 115,169 ",,,,https://www.casnan.com/listing/aruba/house-for-sale-mabon/6206
Property land in a housing project(Tanki Flip/Napa Valley),Noord,For Sale,,,"USD 111,300 ",,,,https://www.casnan.com/listing/aruba/property-land-in-a-housing-projecttanki-flipnapa-valley/6309
House For Sale - De Vuyst,San Nicolas,For Sale,,,"USD 105,618 ",,,,https://www.casnan.com/listing/aruba/house-for-sale-de-vuyst/6019
Land For Sale - Picaron,Santa Cruz,For Sale,,,"USD 77,528 ",,,,https://www.casnan.com/listing/aruba/land-for-sale-picaron/5689
Property land in a housing project(Modanza),Tanki Leendert,For Sale,,,"USD 64,400 ",,,,https://www.casnan.com/listing/aruba/property-land-in-a-housing-projectmodanza/6313
Land For Sale - Jaburibari,Paradera,For Sale,,,USD 177 ,,,,https://www.casnan.com/listing/aruba/land-for-sale-jaburibari/6294
Condominiums For Sale - Oranjestad,Oranjestad,For Sale,,,Price Upon Request,,,,https://www.casnan.com/listing/aruba/condominiums-for-sale-oranjestad/6283
HOUSE FOR SALE - Seroe Pela,Noord,For Sale,,,Price Upon Request,,,,https://www.casnan.com/listing/aruba/house-for-sale-seroe-pela/4547
House For Sale on AUCTION - Savaneta,Savaneta,For Sale,,,Price Upon Request,,,,https://www.casnan.com/listing/aruba/house-for-sale-on-auction-savaneta/6226
House For Sale on AUCTION - Savaneta,Savaneta,For Sale,,,Price Upon Request,,,,https://www.casnan.com/listing/aruba/house-for-sale-on-auction-savaneta/6224
