name,location,property_status,property_type,price,bedrooms,bathrooms,Pool,Latitude,Longitude,link
Gold Coast 75,Noord,New Listing,Condominium for Rent,"2,100",2,3,Yes,12.59935007988185,"-70.03858551027832
        ",https://remaxaruba.com/property/details/gold-coast-75-2
"Diamante 122 D, Gold Coast",Malmok,New Listing,Condominium for Rent,"2,100",2,2,Yes,12.598386794142087,"-70.04287704470215
        ",https://remaxaruba.com/property/details/diamante-122-d-gold-coast
Kudawecha 15,Eagle Beach,New Listing,Residential for Rent,"2,100",3,1,Yes,12.558344414112977,"-70.0163553619629
        ",https://remaxaruba.com/property/details/kudawecha-15-2
Matadera 5-G,Noord,Rented,Residential for Rent,"2,050",5,4,Yes,12.549589547974636,"-70.02804979326783
        ",https://remaxaruba.com/property/details/matadera-5-g-2-2
Palm Beach 164A Unit 2,Palm Beach,New Listing,Commercial for Rent,"2,000",0,1,No,12.56643140457792,"-70.03961547854004
        ",https://remaxaruba.com/property/details/palm-beach-164a-unit-2
Paradera 85-J,Paradera,Rented,Residential for Rent,"1,966",3,2,Yes,12.540404996331416,"-70.00238909962235
        ",https://remaxaruba.com/property/details/paradera-85-j
Papaya 6-H,Paradera,,,"1,900",3,3,Yes,12.544219714484282,"-70.01353636028824
        ",https://remaxaruba.com/property/details/papaya-6-h
Rented - Washington 168,Noord,Rented,Residential for Rent,"1,800",3,1,Yes,12.558600981653502,"-70.03420278074799
        ",https://remaxaruba.com/property/details/washington-168
Sabana Basora 11 B,Pos Chikito,New Listing,Residential for Rent,"1,800",3,2,No,12.47115950015794,"-69.96185287478028
        ",https://remaxaruba.com/property/details/sabana-basora-11-b
Palm Beach 92-A *RENTED*,Noord,Rented,Residential for Rent,"1,798",3,2,28 m,12.572583721071457,"-70.03857149780373
        ",https://remaxaruba.com/property/details/palm-beach-92-a-2
The Palm Leaf Apartments,Noord,New Listing,Apartment for Rent,"1,600",1,1,Yes,12.556375642429554,"-70.01129135134278
        ",https://remaxaruba.com/property/details/the-palm-leaf-apartments
Sabana Basora Noord 217,Pos Chikito,Rented,Residential for Rent,"1,405",3,1,No,12.472479433402311,"-69.96219619753418
        ",https://remaxaruba.com/property/details/Sabana-Basora-Noord-217
Barcadera 4 - Commercial Space - 150 m2,Oranjestad,,,"1,286",0,1,No,12.485447943514622,"-69.99459728243409
        ",https://remaxaruba.com/property/details/barcadera-4-commercial-space-150-m2
Barcadera 4 - Office Space 125 m2,Eagle Beach,Commercial,Commercial for Rent,"1,208",0,1,No,12.485112739801508,"-69.99442562105713
        ",https://remaxaruba.com/property/details/barcadera-4-office-space-125-m2
RENTED - Catiri 14 B,Noord,Rented,Residential for Rent,"1,200",3,1,No,12.543599204809913,"-70.0166986847168
        ",https://remaxaruba.com/property/details/catiri-14-b
Barcadera 4 - Office Space 75 m2,Oranjestad,Commercial,Commercial for Rent,"1,085",0,1,No,12.48532224217312,"-69.99464019777832
        ",https://remaxaruba.com/property/details/barcadera-4-office-space-75-m2
Dominicanessenstraat 23 *RENTED*,Oranjestad,Rented,Apartment for Rent,899,1,1,No,12.522349119357527,"-70.03144546988068
        ",https://remaxaruba.com/property/details/dominicanessestraat-23
Noord Cura Cabai 45 B,Savaneta,New Listing,Residential for Rent,859,1,1,No,12.449327248334642,"-69.93204816820679
        ",https://remaxaruba.com/property/details/noord-cura-cabai-45-b
Barcadera 4 - Industrial or Commercial Land,Oranjestad,,,843,0,0,No,12.485406043074203,"-69.99468311312256
        ",https://remaxaruba.com/property/details/barcadera-4-industrial-or-commercial-land-250-5000-m2
Sero Preto 19 Apartment *RENTED*,Oranjestad,Rented,Apartment for Rent,814,1,1,No,12.526952231293974,"-70.0040923023468
        ",https://remaxaruba.com/property/details/sero-preto-19-apartment
Alto Vista Apartments - Two-Bedrooms,Eagle Beach,Rented,Condominium for Rent,800,2,1,No,12.568565029121368,"-70.01953109743653
        ",https://remaxaruba.com/property/details/alto-vista-apartments-two-bedrooms
2 UNITS RENTED - Paradera 98 E - Unit 1 & 2,Paradera,Rented,Condominium for Rent,790,1,1,No,12.533063403113154,"-70.00483259203492
        ",https://remaxaruba.com/property/details/paradera-98-e-unit-1-and-2
Quatz Studio Apartment/ All Included,Noord,New Listing,Apartment for Rent,758,1,1,No,12.5092044,"-70.0086306
        ",https://remaxaruba.com/property/details/quatz-building-apartment
Cura Cabai 123 J,San Nicolas,New Listing,Apartment for Rent,714,0,1,No,12.441705432182028,"-69.92352410795746
        ",https://remaxaruba.com/property/details/cura-cabai-123-j
Alto Vista Apartments - One-Bedroom,Noord,Rented,Condominium for Rent,700,1,1,No,12.56747596653703,"-70.01991733553467
        ",https://remaxaruba.com/property/details/alto-vista-apartments-one-bedroom
Salinja Cerca,Noord,Rented,Apartment for Rent,650,1,1,No,12.57677500284081,"-70.03594612754996
        ",https://remaxaruba.com/property/details/SalinjaCerca-1
Sun Flower Villas Mesonnetje,Palm Beach,New Listing,Apartment for Rent,600,1,1,Yes,12.5092044,"-70.0086306
        ",https://remaxaruba.com/property/details/sun-flower-villas-mesonnetje
Alto Vista Apartments - Studio,Eagle Beach,Rented,Residential for Rent,500,0,1,No,12.567517853644908,"-70.01987442019043
        ",https://remaxaruba.com/property/details/alto-vista-apartments-studio
Spaans Lagoen Weg 30,Pos Chikito,New Listing,Residential for Rent,390,4,2,No,12.463072143312015,"-69.96713146212159
        ",https://remaxaruba.com/property/details/spaans-lagoen-weg-30
Aruba Vibes - Palma Real 29,Palm Beach,New Listing,Condominium for Rent,296,3,2,Yes,12.564837064983159,"-70.03892883303223
        ",https://remaxaruba.com/property/details/palma-real-29-2
La Mona Villa - Vacation Rental,Eagle Beach,New Listing,Residential for Rent,240,5,3,Yes,12.538278992994572,"-70.02927288057862
        ",https://remaxaruba.com/property/details/villa-margarita-vacation-rental
Cozy Wacamaya - Vacation Rental,Noord,New Listing,Condominium for Rent,210,1,1,Yes,12.579958022468258,"-70.03588184359131
        ",https://remaxaruba.com/property/details/cozy-wacamaya-vacation-rental
Palma Real 70 - Vacation Rental,Palm Beach,New Listing,Condominium for Rent,199,2,2,Yes,12.564501964435035,"-70.03956183435974
        ",https://remaxaruba.com/property/details/palma-real-70
Safir 8 - Vacation Home,Malmok,New Listing,Residential for Rent,175,3,3,Yes,12.596627741278446,"-70.03699764254151
        ",https://remaxaruba.com/property/details/safir-8-vacation-home
Palma Real 69 - Vacation Rental,Palm Beach,New Listing,Condominium for Rent,172,2,2,Yes,12.565842364007679,"-70.04021629335938
        ",https://remaxaruba.com/property/details/palma-real-69
Paradera 98 E - Studio,Eagle Beach,New Listing,Apartment for Rent,69,0,1,No,12.53204750284175,"-70.00502571108399
        ",https://remaxaruba.com/property/details/paradera-98-e-studio
Cumana Commercial Space,Oranjestad,New Listing,Commercial for Rent,33,0,0,No,12.5092044,"-70.0086306
        ",https://remaxaruba.com/property/details/cumana-commercial-space
Downtown Aruba Commercial Building & Offices For Rent,Oranjestad,Commercial,Commercial for Rent,15,0,0,No,12.51966131436444,"-70.03338738920739
        ",https://remaxaruba.com/property/details/commercial-building-offices-for-rent
Medical Office Spaces for Rent,Oranjestad,New Listing,Commercial for Rent,0,14,6,No,12.542719492331223,"-70.05651071312485
        ",https://remaxaruba.com/property/details/Caya-Dr-J.E.M-Arends-Office-Spaces
Dr. J.E.M. Arendsstraat 18 - Eagle Beach,Eagle Beach,New Listing,Commercial for Rent,0,0,1,No,12.544646477654362,"-70.05652412416993
        ",https://remaxaruba.com/property/details/Arendsstraat-18
