name,location,property_status,property_type,price,bedrooms,bathrooms,Pool,Latitude,Longitude,link
Acqua Condominium 235,Palm Beach,New Listing,Condominium for Sale,"675,000",2,2,Yes,12.575937023696644,"-70.04210456850586
        ",https://remaxaruba.com/property/details/Acquacondo%20235
Tanki Leendert # 133 & 133 A,Paradera,New Listing,Residential for Sale,"674,157",5,5,No,12.54104384119628,"-70.02828582766114
        ",https://remaxaruba.com/property/details/tanki-leendert-133-133-a
Gold Coast Diamante Luxury Villa 134,Malmok,,,"645,000",3,2,Yes,12.59894173093381,"-70.04371389391468
        ",https://remaxaruba.com/property/details/gold-coast-villa-134-2
O Condominium,Eagle Beach,Luxury,Condominium for Sale,"635,200",2,2,Yes,12.544967443925822,"-70.05958717063902
        ",https://remaxaruba.com/property/details/o-condominium
Kamay Villa,Noord,New Listing,Residential for Sale,"635,000",5,3,Yes,12.57661766593547,"-70.02787008526383
        ",https://remaxaruba.com/property/details/kamay-villa
Tuscany Daimari Water Villas Unit 60H,Palm Beach,Under Contract,Residential for Sale,"619,715",4,4,Yes,12.581130801915831,"-70.03730877878724
        ",https://remaxaruba.com/property/details/tuscany-daimari-water-villas-unit-60h
Jaburibari 6,Eagle Beach,New Listing,Residential for Sale,"617,977",2,3,Yes,12.5092044,"-70.0086306
        ",https://remaxaruba.com/property/details/jaburibari-6
Wariruri Condominiums 1-13,Noord,New Listing,Condominium for Sale,"615,490",3,3,Yes,12.589444816852174,"-70.03795250895082
        ",https://remaxaruba.com/property/details/wariruri-condominiums-1-13
Aruba's Life Condominiums Duplex Penthouse,Palm Beach,New Listing,Condominium for Sale,"613,500",2,2,Yes,12.565224524447759,"-70.02840384485779
        ",https://remaxaruba.com/property/details/sold-arubas-life-condominium-duplexpenthouse
Zoutmanstraat 21,Oranjestad,New Listing,Commercial for Sale,"558,989",0,2,No,12.517971111886496,"-70.03553315641938
        ",https://remaxaruba.com/property/details/zoutmanstraat
Aruba's Life Condominiums Duplex Junior Units,Palm Beach,New Listing,Condominium for Sale,"558,500",3,3,Yes,12.565224524447759,"-70.02840384485779
        ",https://remaxaruba.com/property/details/sold-arubas-life-condominium-unit-duplexjrs
Aruba's Life Condominiums Duplex Junior Unit,Palm Beach,New Listing,Condominium for Sale,"558,000",3,3,Yes,12.565297827524589,"-70.02839311602173
        ",https://remaxaruba.com/property/details/arubas-life-condominiums-duplex-junior-unit
Divi Aruba - The Residences,Eagle Beach,Under Contract,Condominium for Sale,"535,000",1,2,Yes,12.538697911296456,"-70.05608424189148
        ",https://remaxaruba.com/property/details/divi-aruba-the-residences-9
Jaburibari 30 D,Paradera,Under Contract,Residential for Sale,"535,000",3,2,Yes,12.552773170128015,"-70.00186070444641
        ",https://remaxaruba.com/property/details/jaburibari-30-d-2
Gold Coast 5 Bedroom Townhouse,Malmok,Under Contract,Residential for Sale,"520,000",6,3,Yes,12.599668922044534,"-70.04290547392634
        ",https://remaxaruba.com/property/details/gold-coast-diamante-villa-93
Tuscany Daimari Water Villas unit 60-E,Palm Beach,New Listing,Residential for Sale,"520,000",2,2,Yes,12.581507070457846,"-70.03669412382924
        ",https://remaxaruba.com/property/details/daimari-water-villas-unit-60-e
Gold Coast Diamante 95,Noord,Under Contract,Condominium for Sale,"495,000",3,3,Yes,12.598774202972278,"-70.04059180262146
        ",https://remaxaruba.com/property/details/gold-coast-diamante-95
Palm Aruba 107,Palm Beach,New Listing,Condominium for Sale,"495,000",2,2,Yes,12.564132829731934,"-70.03814294579087
        ",https://remaxaruba.com/property/details/palm-aruba-107
Van Deventerstraat 9,Oranjestad,New Listing,Residential for Sale,"495,000",2,3,No,12.521055624882443,"-70.02780303003846
        ",https://remaxaruba.com/property/details/van-deventerstraat-9
Washington Gardens 49 J,Noord,New Listing,Residential for Sale,"494,382",3,2,Yes,12.561171878997843,"-70.03830656054078
        ",https://remaxaruba.com/property/details/washington-49-j
Tierra del Sol - Las Palmas 22-A,Malmok,,,"475,000",3,2,No,12.604250216507955,"-70.04476531984864
        ",https://remaxaruba.com/property/details/tierra-del-sol-las-palmas-22-a
Bushistraat #1,Oranjestad,New Listing,Residential for Sale,"465,000",4,3,No,12.53170712298947,"-70.0327812099701
        ",https://remaxaruba.com/property/details/Bushistraat-1
Blenchistraat 26 B,Oranjestad,Reduced,Residential for Sale,"460,000",5,3,Yes,12.492946703667757,"-70.00671282055436
        ",https://remaxaruba.com/property/details/blenchistraat-26-b
Aracari Unit 3-B,Noord,New Listing,Condominium for Sale,"459,000",2,2,Yes,12.584392566581586,"-70.037445571447
        ",https://remaxaruba.com/property/details/aracari-unit-3-b
Driemasterstraat 53,Oranjestad,New Listing,Commercial for Sale,"456,000",6,2,No,12.530382255592471,"-70.03987297060547
        ",https://remaxaruba.com/property/details/driemasterstraat-53
Palm Beach house with 4 apartments,Eagle Beach,New Listing,Residential for Sale,"448,000",6,6,1 m,12.571040630149277,"-70.04113360884247
        ",https://remaxaruba.com/property/details/palm-beach-house-with-apartments
Boroncana Residence,Noord,New Listing,Residential for Sale,"430,000",7,4,No,12.5092044,"-70.0086306
        ",https://remaxaruba.com/property/details/boroncana-residence
Boroncana 239,Palm Beach,New Listing,Residential for Sale,"429,000",2,2,1 m,12.582177921895735,"-70.03159030916748
        ",https://remaxaruba.com/property/details/boroncana-239
Seroe Blanco 56-R,Oranjestad,Reduced,Residential for Sale,"421,348",6,3,No,12.527811050820256,"-70.02060934546051
        ",https://remaxaruba.com/property/details/seroe-blanco-56-r
Ponton Plot,Oranjestad,New Listing,Land for Sale,"421,348",0,0,No,12.532560690077169,"-70.02931579592286
        ",https://remaxaruba.com/property/details/ponton-plot
Morgenster 41-H,Santa Cruz,New Listing,Residential for Sale,"404,494",2,2,No,12.517834952568348,"-70.00348075869141
        ",https://remaxaruba.com/property/details/morgenster-51-h
Divi Golf Condo at Eagle beach,Eagle Beach,New Listing,Condominium for Sale,"395,000",0,1,0 m,12.537399262343934,"-70.05597695353089
        ",https://remaxaruba.com/property/details/Unique-Condo-at-Divi-Residence
Aruba's Life Condominiums First Floor Units,Palm Beach,New Listing,Condominium for Sale,"383,500",2,2,Yes,12.565224524447759,"-70.02840384485779
        ",https://remaxaruba.com/property/details/sold-arubas-life-condominium-unit-firstfloor
Madiki 14 f,Oranjestad,New Listing,Residential for Sale,"382,000",4,3,No,12.5092044,"-70.0086306
        ",https://remaxaruba.com/property/details/madiki-14-f
Wariruri Condominiums,Noord,New Listing,Condominium for Sale,"380,800",2,2,Yes,12.589444816852174,"-70.03795250895082
        ",https://remaxaruba.com/property/details/wariruri-condominiums-2
Aruba's Life Condominiums Second Floor Units,Palm Beach,New Listing,Condominium for Sale,"367,500",2,2,Yes,12.565224524447759,"-70.02840384485779
        ",https://remaxaruba.com/property/details/sold-arubas-life-condominium-unit-secondfloor
Property land at Rooi Hundo,San Nicolas,,,"363,589",0,0,No,12.442001,"-69.906840
        ",https://remaxaruba.com/property/details/property-land-at-rooi-hundoe
Mabon 5 H,Savaneta,New Listing,Residential for Sale,"362,365",5,4,Yes,12.5092044,"-70.0086306
        ",https://remaxaruba.com/property/details/mabon-7h
Morgenster 37,Oranjestad,New Listing,Residential for Sale,"362,360",3,2,No,12.516808518473601,"-70.00431760790406
        ",https://remaxaruba.com/property/details/morgenster-37
Sabana Basora 89,Savaneta,New Listing,Residential for Sale,"360,000",5,3,No,12.47065666667678,"-69.96402009966431
        ",https://remaxaruba.com/property/details/sabana-basora-89
Paradera 1-E,Paradera,New Listing,Residential for Sale,"355,000",3,2,No,12.537165828149298,"-70.00831066140745
        ",https://remaxaruba.com/property/details/paradera-1e
Bubali 73 D,Noord,Reduced,Residential for Sale,"350,000",2,1,No,12.5092044,"-70.0086306
        ",https://remaxaruba.com/property/details/bubali-73-d
Modanza 4,Oranjestad,New Listing,Residential for Sale,"350,000",2,1,No,12.532581636473479,"-70.01481040957032
        ",https://remaxaruba.com/property/details/modanza-4
San Barbola residence 208,Oranjestad,New Listing,Residential for Sale,"350,000",4,3,No,12.524726618601928,"-70.01427396776734
        ",https://remaxaruba.com/property/details/san-barbola-208
Palma Real 70,Palm Beach,New Listing,Condominium for Sale,"350,000",2,2,Yes,12.564711402328703,"-70.03862842562256
        ",https://remaxaruba.com/property/details/palma-real-70-3
Harbour House 423S,Oranjestad,New Listing,Condominium for Sale,"340,000",0,0,Yes,12.519180831904494,"-70.04090293886719
        ",https://remaxaruba.com/property/details/harbour-house-423s
Savaneta 97,Savaneta,New Listing,Commercial for Sale,"337,079",0,0,No,12.5092044,"-70.0086306
        ",https://remaxaruba.com/property/details/savaneta-97
Gold Coast Diamante 122 D,Malmok,Reduced,Condominium for Sale,"335,000",2,2,Yes,12.597842326688877,"-70.04377826693116
        ",https://remaxaruba.com/property/details/gold-coast-diamante-122-d
Cumana 99 C,Eagle Beach,New Listing,Residential for Sale,"334,270",4,3,No,12.519762123921533,"-70.01081928255616
        ",https://remaxaruba.com/property/details/cumana-99-c
Harbour House Aruba,Oranjestad,,,"314,930",2,2,Yes,12.51934841171928,"-70.0408492946869
        ",https://remaxaruba.com/property/details/bay-harbor-marina-2-2
Aruba's Life Condominiums Second Floor One Bed Unit,Palm Beach,New Listing,Condominium for Sale,"310,000",1,1,Yes,12.565276883790657,"-70.0283502006775
        ",https://remaxaruba.com/property/details/arubas-life-condominiums-second-floor-one-bed-unit-2
Wayaca 317,Oranjestad,New Listing,Residential for Sale,"309,000",3,2,1 m,12.505234667921835,"-70.00208601000367
        ",https://remaxaruba.com/property/details/wayaca-317
Tanki Flip 14-G,Oranjestad,Commercial,Residential for Sale,"308,988",1,2,No,12.54611265248016,"-70.02953037264405
        ",https://remaxaruba.com/property/details/tanki-flip-14-g
Paradera 115 N,Paradera,New Listing,Residential for Sale,"295,600",4,2,1 m,12.53517897639263,"-70.0031374359375
        ",https://remaxaruba.com/property/details/paradera-115-n
Aruba's Life Condominiums Second Floor One Bed Unit,Palm Beach,New Listing,Condominium for Sale,"289,000",1,1,Yes,12.56527688379063,"-70.0283502006775
        ",https://remaxaruba.com/property/details/arubas-life-condominiums-second-floor-one-bed-unit
Nune #18 Paradera,Noord,New Listing,Residential for Sale,"281,000",4,2,No,12.541295189561176,"-70.00665649416504
        ",https://remaxaruba.com/property/details/nune-18-paradera
Sombre 32 D,Santa Cruz,New Listing,Residential for Sale,"279,495",3,2,No,12.511215428321462,"-69.95854839327393
        ",https://remaxaruba.com/property/details/sombre-32-d
Bubali 73B - A4,Noord,,,"275,000",2,1,No,12.551076639540147,"-70.04287704470215
        ",https://remaxaruba.com/property/details/bubali-73B
Santa Cruz 26,Santa Cruz,Under Contract,Residential for Sale,"275,000",5,4,No,12.507905602552633,"-69.9842975998169
        ",https://remaxaruba.com/property/details/Santa%20Cruz%2026
Bubali 73B - A3,Noord,,,"275,000",2,1,No,12.551129001762684,"-70.04284485819397
        ",https://remaxaruba.com/property/details/bubali-73b-a3
Bubali 73B - A1,Noord,,,"275,000",2,1,No,12.551129001762684,"-70.04285558703003
        ",https://remaxaruba.com/property/details/bubali-73b-a1
Sabana Grandi  34 F,Oranjestad,New Listing,Commercial for Sale,"274,800",2,2,No,12.49874575287963,"-69.98946353437958
        ",https://remaxaruba.com/property/details/sabana-grandi
Rooi Koochi 62-G,San Nicolas,New Listing,Residential for Sale,"267,000",3,2,No,12.460264556282628,"-69.9322842026001
        ",https://remaxaruba.com/property/details/rooi-koochi-62-g
Kudawecha 15,Noord,Reduced,Residential for Sale,"266,853",3,1,Yes,12.556752643068186,"-70.0115488434082
        ",https://remaxaruba.com/property/details/kudawecha-15
