name,location,property,price,bedrooms,bathrooms,Pool,link
The Cove 109 ,,"
Luxury","USD 685,440", 3, 144 m2,,https://homecityaruba.com//listings/cove-108
Porta al Sole ,,"
The","USD 685,000", 191 m2, 191 m2,,https://homecityaruba.com//listings/porta-al-sole
Warehouse in Oranjestad ,,"
This","USD 680,000", 495 m2, 495 m2,,https://homecityaruba.com//listings/commercial-building-oranjestad-5
Building in Oranjestad ,,"
Location,","USD 678,000", 290 m2, 345 m2,,https://homecityaruba.com//listings/commercial-building-oranjestad
Building in Zoutmanstraat ,,"
Location,","USD 678,000", 290 m2, 345 m2,,https://homecityaruba.com//listings/zoutmanstraat-5
Home at Babijn ,,"
This","USD 675,000",,,,https://homecityaruba.com//listings/villa-babijn
Portside building in Oranjestad ,,"
The","USD 675,000", 321 m2, 409 m2,,https://homecityaruba.com//listings/portside-building
Seroe Blanco 5585 m2 ,,"
Great","USD 670,000",,,,https://homecityaruba.com//listings/seroe-blanco-5585-m2
Daimari Watervillas ,,"
SOLD","USD 663,700", 195 m2, 218 m2,,https://homecityaruba.com//listings/daimari-watervillas
Blue Residences 312 ,,"
This","USD 650,000", 94 m2, 94 m2,,https://homecityaruba.com//listings/blue-residences-312
Home at Palm Beach ,,"
This","USD 625,000", 340 m2, 734 m2,,https://homecityaruba.com//listings/home-palm-beach-4
Home at Rooi Kochi ,,"
This","USD 624,000", 311 m2, 945 m2,,https://homecityaruba.com//listings/home-rooi-kochi
Home in Oranjestad ,,"
Location","USD 612,000", 321 m2, 1.116 m2,,https://homecityaruba.com//listings/caya-betico-croes-134
Apartment Complex in Oranjestad ,,"
Appraised","USD 612,000", 321 m2, 1.116 m2,,https://homecityaruba.com//listings/apartment-complex-oranjestad
Building in Mainstreet ,,"
Great","USD 610,674", 354 m2, 390 m2,,https://homecityaruba.com//listings/mainstreet-63
The Cove 106 ,,"
Luxury","USD 595,000", 2, 125 m2,,https://homecityaruba.com//listings/cove-106
Gold Coast 157 ,,"
Sold!
This","USD 590,000", 175 m2, 392 m2,,https://homecityaruba.com//listings/villa-sale-gold-coast-residences
Gold Coast ,,"
This","USD 590,000", 3, 3,,https://homecityaruba.com//listings/diamante-155
Home at Ponton ,,"
Sold!
This","USD 560,000", 220 m2, 742 m2,,https://homecityaruba.com//listings/ponton-123-b
Villa Morgenster 5 ,,"
This","USD 533,000", 380 m2, 1.229 m2,,https://homecityaruba.com//listings/villa-morgenster
Condo in Tierra del Sol ,,"
This","USD 515,000", 140 m2, 140 m2,,https://homecityaruba.com//listings/condo-tierra-del-sol
Home at Boroncana ,,"
Sold!
This","USD 515,000", 245 m2, 748 m2,,https://homecityaruba.com//listings/home-boroncana-2
Apartment complex at Sabana Blanco ,,"
Price","USD 505,000", 534 m2, 838 m2,,https://homecityaruba.com//listings/apartment-complex-sabana-blanco-airport
Home at Bubali ,,"
High","USD 500,000", 8, 630 m2,,https://homecityaruba.com//listings/home-bubali-6
Moko Residence 157 ,,"
This","USD 500,000", 319 m2, 913 m2,,https://homecityaruba.com//listings/home-moko-3
Arashi Boutique Condo ,,"
PRE","USD 492,860", 95 m2, 95 m2,,https://homecityaruba.com//listings/tuscany-condo
Home at Bubali ,,"
Sold!
This","USD 485,000", 200 m2, 723 m2,,https://homecityaruba.com//listings/bubali-73-g
Gold Coast 99 ,,"
Town","USD 480,000", 3, 3,,https://homecityaruba.com//listings/home-99-gold-coast
Condo at Blue Residences ,,"
Sold!
Everyone","USD 470,000", 2, 2,,https://homecityaruba.com//listings/blue-residences-623
Divi Condo ,,"
Enjoy","USD 460,000", 2, 1,,https://homecityaruba.com//listings/divi-condo
Pearl condos ,,"
Great","USD 450,000", 2, 2,,https://homecityaruba.com//listings/pearl-condo
Condo in Oranjestad ,,"
You","USD 428,500", 114 m2, 114 m2,,https://homecityaruba.com//listings/condo-oranjestad-2
Family Home in San Barbola ,,"
This","USD 425,000", 157 m2, 560 m2,,https://homecityaruba.com//listings/home-san-barbola-206
Family home in San Barbola ,,"
This","USD 405,000", 154 m2, 605 m2,,https://homecityaruba.com//listings/family-home-san-barbola
Home at Wayaca Residence ,,"
Great","USD 393,000", 320 m2, 727 m2,,https://homecityaruba.com//listings/wayaca-residence-365
Home in Casibari ,,"
Beautiful","USD 392,000", 170 m2, 478 m2,,https://homecityaruba.com//listings/home-casibari78
Home at Tanki Leendert ,,"
Cozy","USD 391,000", 189 m2, 425 m2,,https://homecityaruba.com//listings/home-tanki-leendert-6
Oranjestad 882 m2 ,,"
This","USD 390,000",,,,https://homecityaruba.com//listings/oranjestad-882-m2
Villa in Papilon ,,"
This","USD 389,000", 111 m2, 497 m2,,https://homecityaruba.com//listings/villa-papilon
Commercial building in Oranjestad ,,"
Commercial","USD 385,000", 178 m2, 182 m2,,https://homecityaruba.com//listings/commercial-building-oranjestad-3
Home at Moko Residence ,,"
Sold!
Lovely","USD 383,000", 224 m2, 630 m2,,https://homecityaruba.com//listings/home-moko
Home at Piedra Plat ,,"
Having","USD 382,000",,,,https://homecityaruba.com//listings/piedra-plat-78-b
Commercial building in Oranjestad ,,"
Commercial","USD 380,000", 211 m2, 600 m2,,https://homecityaruba.com//listings/commercial-building-oranjestad-4
Catalina Estates (TDS) 747 m2 ,,"
ONLY","USD 375,000", Walking Distance, 747 m2,,https://homecityaruba.com//listings/land-tierra-del-sol
Apartment Complex in Noord ,,"
Apartment","USD 354,000", 191 m2, 493 m2,,https://homecityaruba.com//listings/apartment-complex-in-noord
Home at Seroe Preto ,,"
This","USD 338,000", 180 m2, 907 m2,,https://homecityaruba.com//listings/seroe-preto-29
San Nicolas 5949 m2 ,,"
Under","USD 336,101",,,,https://homecityaruba.com//listings/san-nicolas-5949-m2
Apartment Complex at Wayaca ,,"
Great","USD 336,000", 100 m2, 600 m2,,https://homecityaruba.com//listings/apartment-complex-wayaca
Home at Paradera ,,"
Nice","USD 324,000", 250 m2, 550 m2,,https://homecityaruba.com//listings/home-paradera-2
Santa Cruz 10.000 m2 ,,"
LAND","USD 314,607",,,,https://homecityaruba.com//listings/santa-cruz-10000-m2
