name,location,property_status,property_type,price,bedrooms,bathrooms,Pool,Latitude,Longitude,link
Casa Palm,Palm Beach,Sold,"
                                    Houses for Sale
                                ","565,000",,,,,,https://aruba-realty.com/property/details/casa-palm
CASA Seroe Blanco Apartment complex,Seroe Blanco,New Listing,"
                                    Houses for Sale
                                ","558,427",,,,,,https://aruba-realty.com/property/details/casa-seroe-blanco-apartment-complex
CASA Sweelinck + 9 Apartments,Oranjestad Swee link straat 1,New Listing,"
                                    Houses for Sale
                                ","505,620",,,,,,https://aruba-realty.com/property/details/casa-sweelink
CASA Top of the Hill Babijn,Paradera Babijn 65,Sold,"
                                    Houses for Sale
                                ","480,000",3,2,Pool,12.5413741,"-69.99642829999999
                ",https://aruba-realty.com/property/details/casa-top-of-the-hill-babijn
CASA PalmaAruba #308,Palm Beach Palm Beach,New Listing,"
                                    Houses for Sale
                                ","460,000",2,2,Pool,12.564419110368492,"-70.03833661796875
                ",https://aruba-realty.com/property/details/Casa-PalmAruba-308-2-2
CASA Harbour House #320,Oranjestad,,,"458,941",,,,,,https://aruba-realty.com/property/details/casa-harbour-house-unit-320
CASA Blue Residence unit 633,Eagle Beach Eagle Beach Aruba,New Listing,"
                                    Houses for Sale
                                ","438,500",1,1,Pool,12.561161291039042,"-70.05332187987062
                ",https://aruba-realty.com/property/details/casa-blue-tower-%20115-3-2-2
CASA Moko Paradise,Moko,New Listing,"
                                    Houses for Sale
                                ","425,750",,,,,,https://aruba-realty.com/property/details/casa-moko-paradise
CASA Brilliant,North Sabana Liber 93,,,"421,500",,,,,,https://aruba-realty.com/property/details/casa-brilliant-2
CASA Jardin del Mar (F),Eagle Beach Jardin del Mar Unit 9,New Listing,"
                                    Houses for Sale
                                ","420,000",,,,,,https://aruba-realty.com/property/details/casa-jardin-del-mar-f
CASA Fair,Pos Chikito,,,"410,000",,,,,,https://aruba-realty.com/property/details/casa-fair
CASA Harbour House #321,Oranjestad,,,"395,729",,,,,,https://aruba-realty.com/property/details/casa-harbour-house-unit-302-3
CASA The Golden Pearl,Savaneta Beach Savaneta 178-B,Sold,"
                                    Houses for Sale
                                ","370,000",2,2.5,Airconditioned,12.4498415,"-69.9521116
                ",https://aruba-realty.com/property/details/casa-the-golden-pearl-3-2
CASA Harbour House #302,Oranjestad,,,"365,578",,,,,,https://aruba-realty.com/property/details/casa-harbour-house-unit-302
CASA Azure Tower 2 - Studio Ground Floor -#122,Eagle Beach,,,"359,550",1,Pool,Pool,12.559692088327527,"-70.0542974345093
                ",https://aruba-realty.com/property/details/casa-azure-model-ph-b-2-2-3
CASA Tumba Diamand,Eagle Beach Tumba 49 Aruba,Sale in Progress,"
                                    Houses for Sale
                                ","350,000",,,,,,https://aruba-realty.com/property/details/casa-tumba-diamand-2-2
CASA la Mirage,Ponton Cuquisastraat,New Listing,"
                                    Houses for Sale
                                ","349,000",,,,,,https://aruba-realty.com/property/details/casa-la-mirage
CASA New Beginnings,Paradera,Sold,"
                                    Houses for Sale
                                ","295,000",,,,,,https://aruba-realty.com/property/details/casa-spacious-2
CASA Marines,Sabana Liber,Sold,"
                                    Houses for Sale
                                ","293,000",,,,,,https://aruba-realty.com/property/details/casa-marines-2
CASA Day Dream,Rooi Kochi Rooi Kochi 21,Reduced,"
                                    Houses for Sale
                                ","289,000",,,,,,https://aruba-realty.com/property/details/casa-day-dream
CASA Villa Daniella,North Montana 79,Sold,"
                                    Houses for Sale
                                ","285,000",3,2,Pool,12.558436616193571,"-70.0299076899658
                ",https://aruba-realty.com/property/details/casa-montana-perfecto-2-2
CASA Bloemond,Paradera Bloemond 28A,Sold,"
                                    Houses for Sale
                                ","266,000",4,3,Pool,12.538320884855382,"-69.99742969515381
                ",https://aruba-realty.com/property/details/casa-bloemond
CASA Wacamaya 7B,North,Sold,"
                                    Houses for Sale
                                ","255,000",,,,,,https://aruba-realty.com/property/details/casa-wacamaya-7B-2
Casa Luna,Tarabana,Sold,"
                                    Houses for Sale
                                ","240,000",,,,,,https://aruba-realty.com/property/details/casa-luna
CASA Twin 1,Ponton Ponton 70B,,,"235,955",,,,,,https://aruba-realty.com/property/details/casa-twin-1
CASA Twin 2,Ponton Ponton 70M,,,"235,955",,,,,,https://aruba-realty.com/property/details/casa-twin-1-2
CASA Seroe Blanco Executive,Oranjestad Seroe Blanco,New Listing,"
                                    Houses for Sale
                                ","224,158",,,,,,https://aruba-realty.com/property/details/casa-seroe-blanco-executive-2
CASA Casibari,Casibari,Sold,"
                                    Houses for Sale
                                ","210,674",,,,,,https://aruba-realty.com/property/details/casa-casibari-2
CASA Caya Solo Lovely,Oranjestad Caya Solo 11-2,Sold,"
                                    Houses for Sale
                                ","195,000",,,,,,https://aruba-realty.com/property/details/casa-caya-solo-lovely
Casa Cuquisa,Ponton Cuquisastraat 28 B,Sold,"
                                    Houses for Sale
                                ","193,821",3,3.5,Airconditioned,12.537611340543393,"-70.03241575899182
                ",https://aruba-realty.com/property/details/casa-cuquisa
CASA Camacuri Moon (C),Camacuri,New,"
                                    Houses for Sale
                                ","139,000",1,1,Pool,12.510964050637757,"-70.02328619005738
                ",https://aruba-realty.com/property/details/casa-camacuri-moon-c
Casa Sunrise City,San Nicolaas,Sale in Progress,"
                                    Houses for Sale
                                ","117,978",,,,,,https://aruba-realty.com/property/details/casa-sunrise-city-2
CASA Camacuri Sun (A),Camacuri,New,"
                                    Houses for Sale
                                ","84,000",1,Pool,Pool,12.511122470977433,"-70.02327747287808
                ",https://aruba-realty.com/property/details/casa-camacuri-sun-a
CASA Aloe,Ponton,New Listing,"
                                    Houses for Sale
                                ",0,,,,,,https://aruba-realty.com/property/details/casa-aloe
CASA Distinct,Malmok Catalina 14,New Listing,"
                                    Longterm Rentals
                                ","12,500",5,3.5,Pool,12.607879575927376,"-70.04399573409921
                ",https://aruba-realty.com/property/details/casa-distinct-2
CASA Fantastical,Noord Opal,New Listing,"
                                    Longterm Rentals
                                ","3,900",4,3.5,Pool,12.58928775357532,"-70.04045232775269
                ",https://aruba-realty.com/property/details/casa-fantastical-2
CASA Unique,Paradera,Rented,"
                                    Longterm Rentals
                                ","3,315",5,3,Pool,12.540562089478499,"-70.00322326662598
                ",https://aruba-realty.com/property/details/paradera-225
CASA The Rainbow Villa,Noord Sabana Liber 221,Rented,"
                                    Longterm Rentals
                                ","2,995",4,2,Pool,12.56337061462853,"-70.0191735835449
                ",https://aruba-realty.com/property/details/casa-the-rainbow-villa-3
