index,name,location,property_status,property_type,price,bedrooms,bathrooms,Pool,link
0,Harbour House Unit 201,Renaissance,,Residential,,2,2,Ocean,https://century21aruba.com//en/d/harbour-house-unit-201-condo-for-sale-aruba-1149344
2,Harbour House Unit 410,Renaissance,,Residential,,2,2,Pool,https://century21aruba.com//en/d/harbour-house-unit-410-condo-for-sale-aruba-1149079
4,Palm Aruba 109,Palm,,Residential,,2,2&half,Garden,https://century21aruba.com//en/d/palm-aruba-109-condo-for-sale-1149257
6,Palm Aruba Condos Unit 405,Palm,,Residential,,2,2,Ocean,https://century21aruba.com//en/d/palm-aruba-condos-unit-405-for-sale-1144846
8,Harbour House Unit 202,Renaissance,Motivated Seller,Residential,"US$ 599,000",3,2,Island,https://century21aruba.com//en/d/harbour-house-unit-202-condo-for-sale-aruba-1149043
