name,location,property,price,bedrooms,bathrooms,Pool,link
Jardines Del Mar 34 ,"Jardines Del Mar 34, Eagle Beach",Condominium for sale," 590,000 ",2,2,,https://www.mpgaruba.com/property/condominium-409-jardines-del-mar-34
Palm Beach Prime location plus 2 apartments ,"Palm Beach 20 F, Palm Beach",Residential for sale," 590,000 ",5,4,,https://www.mpgaruba.com/property/residential-411-palm-beach-prime-location-plus-2-apartments
Two Story Villa at San Miguel! ,"San Miguel, Bubali",Residential for sale," 610,000 ",3,2,,https://www.mpgaruba.com/property/residential-415-two-story-villa-at-san-miguel
Excellent Investment! ,"Seroe Blanco 37, Oranjestad",Commercial for sale," 618,000 ",5,4,,https://www.mpgaruba.com/property/commercial-72-excellent-investment
Land Bella Vista at Tierra del Sol ,"Bella Vista 15 Tiierra del Sol, Malmok",Lease Land for sale," 650,000 ","2,573 m2",Long lease,,https://www.mpgaruba.com/property/lease-land-347-land-bella-vista-at-tierra-del-sol
4 BR Mansion plus Professional Garage and Warehouse ,"Cas Paloma 18 B, Oranjestad",Residential for sale," 675,000 ",6,6,,https://www.mpgaruba.com/property/residential-320-4-br-mansion-plus-professional-garage-and-warehouse
Porta al sole condos ,", Noord",Condominium for sale," 685,000 ",3,4,,https://www.mpgaruba.com/property/condominium-393-porta-al-sole-condos
Sea View Property Land with partially build Villa ,"Opal, Bakval",Property Land for sale," 685,800 ",3,,,https://www.mpgaruba.com/property/property-land-290-sea-view-property-land-with-partially-build-villa
Esmeralda Modern Villa ,"Esmeralda 81, Malmok, Westpunt",Residential for sale," 690,000 ",4,3,,https://www.mpgaruba.com/property/residential-141-esmeralda-modern-villa
The Daher Residence ,", Noord",Condominium for sale," 748,393 ",2,3,,https://www.mpgaruba.com/property/condominium-266-the-daher-residence
SAFIR COUNTRY VILLA ,"SAFIR 33, Noord",Residential for sale," 775,000 ",3,2,,https://www.mpgaruba.com/property/residential-410-safir-country-villa
Commercial  Building in Downtown Oranjestad. ,"Havenstraat 25-A, Oranjestad",Commercial for sale," 787,000 ",191 m2,368 m2,,https://www.mpgaruba.com/property/commercial-169-commercial-building-in-downtown-oranjestad
Tuscany Villas Aruba ,", Bakval",Residential for sale," 788,000 ",3,3,,https://www.mpgaruba.com/property/residential-317-tuscany-villas-aruba
Tuscany Villas Aruba ,", Bakval",Condominium for sale," 788,000 ",3,3,,https://www.mpgaruba.com/property/condominium-340-tuscany-villas-aruba
BUSHIRI VILLA plus APARTMENT / 2 POOLS ,"Bushiri 168, Bushiri",Residential for sale," 790,000 ",5,6,,https://www.mpgaruba.com/property/residential-392-bushiri-villa-plus-apartment-2-pools
Dream Villa Esmeralda with a Pool! ,"Esmeralda 103, Malmok",Residential for sale," 800,000 ",4,5,,https://www.mpgaruba.com/property/residential-20-dream-villa-esmeralda-with-a-pool
Ocean Front Condo at Oceania Residences! ,"J.E. Irausquin B;vd. Oceania Residences Boca Catalina 156, Eagle Beach",Condominium for sale," 840,000 ",2,2,,https://www.mpgaruba.com/property/condominium-246-ocean-front-condo-at-oceania-residences
Golf Villa with 4 Bedrooms at Tierra del Sol! ,"Tierra del Sol Mira Mar 27, Malmok",Residential for sale," 850,000 ",4,3.5,,https://www.mpgaruba.com/property/residential-117-golf-villa-with-4-bedrooms-at-tierra-del-sol
Villa Koyari ,"Koyari 25D, Bubali",Residential for sale," 850,000 ",5,4,,https://www.mpgaruba.com/property/residential-383-villa-koyari
Building on the Main Road of Santa Cruz! ,"Macuarima 95+96, Santa Cruz",Commercial for sale," 854,000 ","1,936 m2",845 m2,,https://www.mpgaruba.com/property/commercial-378-building-on-the-main-road-of-santa-cruz
Azure Ocean View Ground Floor 3bedrooms ,"Azure Residences J.E Irausquin Blvd 260, Palm Beach",Condominium for sale," 860,000 ",210 m2,Long lease,,https://www.mpgaruba.com/property/condominium-304-azure-ocean-view-ground-floor-3bedrooms
"Property Land at Ponton of 13,328 m2 ","Ponton, Ponton",Property Land for sale," 860,000 ",13 m2,Property land,,https://www.mpgaruba.com/property/property-land-337-property-land-at-ponton-of-13328-m2
O Condominiums Ocean Front Aruba! ,"Eagle Beach, Eagle Beach",Condominium for sale," 900,000 ",2,2,,https://www.mpgaruba.com/property/condominium-150-o-condominiums-ocean-front-aruba
Villa with Six Apartments in Noord!! ,"Sabana Liber 28, Sabana Blanco",Residential for sale," 926,000 ",7,7,,https://www.mpgaruba.com/property/residential-279-villa-with-six-apartments-in-noord
ATLANTIC 360 Residence ,"J.E. Irausquin BLVD, Eagle Beach",Condominium for sale," 954,666 ",3,3,,https://www.mpgaruba.com/property/condominium-368-atlantic-360-residence
ATLANTIC 360 Residence ,"J.E. Irausquin BLVD, Eagle Beach",Condominium for sale," 954,666 ",3,3,,https://www.mpgaruba.com/property/condominium-373-atlantic-360-residence
MALMOKWEG VILLA ,"Malmokweg 18, Westpunt",Residential for sale," 974,000 ",4,3,,https://www.mpgaruba.com/property/residential-331-malmokweg-villa
Ocean View Azure Condominium on Eagle Beach! ,"Blue Residence, Palm Beach",Condominium for sale," 990,000 ",3,3,,https://www.mpgaruba.com/property/condominium-55-ocean-view-azure-condominium-on-eagle-beach
Modern Villa at Tierra del Sol Golf Course! ,"Caya di Oro 75, Malmok",Residential for sale," 1,000,000 ",4,4,,https://www.mpgaruba.com/property/residential-155-modern-villa-at-tierra-del-sol-golf-course
Property on the Main Road of Palm Beach ,", Palm Beach",Commercial for sale," 1,100,000 ",10,4,,https://www.mpgaruba.com/property/commercial-262-property-on-the-main-road-of-palm-beach
Two Story Building with 12 Apartments. ,"Caya Frere Bernadinus 12, Oranjestad",Commercial for sale," 1,100,000 ",14,14,,https://www.mpgaruba.com/property/commercial-286-two-story-building-with-12-apartments
Esmeralda NEW  5 bedroom Villa ,"Esmeralda 121 C, Noord",Residential for sale," 1,100,000 ",5,4,,https://www.mpgaruba.com/property/residential-374-esmeralda-new-5-bedroom-villa
Top Of The Hill Villa ,"Noord, Aruba, Boegeroei",Residential for sale," 1,159,000 ",3,3,,https://www.mpgaruba.com/property/residential-402-top-of-the-hill-villa
ESMERALDA DREAM VILLA ,"Esmeralda 84, Westpunt",Residential for sale," 1,200,000 ",4,3,,https://www.mpgaruba.com/property/residential-330-esmeralda-dream-villa
