index,name,price,location,property_status,property_type,bedrooms,bathrooms,Pool,link
153,Paradera 1,SOLD,Sero,,Residential,4,3,Garden,https://century21aruba.com//en/d/paradera-1-home-for-sale-aruba-1149126
155,Yayostraat 5,SOLD,Sero,,Residential,4,3,Garden,https://century21aruba.com//en/d/yayostraat-5-home-for-sale-aruba-1146430
157,San Fuego 22 - C,SOLD,Sero,,Residential,4,3,Garden,https://century21aruba.com//en/d/san-fuego-22-c-home-for-sale-aruba-1149199
159,Napa Valley - Townhouse Unit 1 - B,SOLD,Sero,,Residential,4,3,Garden,https://century21aruba.com//en/d/napa-valley-townhouse-unit-1-b-home-for-sale-aruba-1146508
161,Piedra Plat 104 - D,"US$ 258,427",Piedra,New Listing,Residential,4,2,Inland,https://century21aruba.com//en/d/piedra-plat-104-d-home-for-sale-aruba-1149580
163,Papilon 63 - C,"US$ 258,427",Piedra,,Residential,4,2,Inland,https://century21aruba.com//en/d/papilon-63-c-home-for-sale-aruba-1145676
165,Tanki Leendert 263 - B,SOLD,Tanki,,Residential,3,1,Inland,https://century21aruba.com//en/d/tanki-leendert-263-b-home-for-sale-aruba-1148785
167,Piedra Plat 23 - E,"US$ 278,090",Piedra,Pending Offers,Residential,4,2,Inland,https://century21aruba.com//en/d/piedra-plat-23-e-home-for-sale-aruba-1149339
169,Sabana Liber 18 - A,"US$ 278,090",Piedra,,Residential,4,2,Inland,https://century21aruba.com//en/d/sabana-liber-18-a-home-for-sale-aruba-1149482
171,Stadionweg 8,"US$ 295,000",Surfside,New Listing,Residential,3,2&half,Inland,https://century21aruba.com//en/d/stadionweg-8-home-for-sale-aruba-1150035
173,Verano 8,"US$ 300,000",Morgenster,New Listing,Residential,5,3,Inland,https://century21aruba.com//en/d/verano-8-home-for-sale-aruba-1150027
175,Walishali 14,"US$ 300,561",Ponton,Under Contract,Residential,2,2,Inland,https://century21aruba.com//en/d/walishali-14-home-for-sale-aruba-1149573
177,Paradera 85 - N & P,SOLD,Paradera,,Residential,4,2,Garden,https://century21aruba.com//en/d/paradera-85-n-home-for-sale-aruba-1147944
179,Wayaca Residence 333,"US$ 350,028",Wayaca,New Listing,Residential,3,2,Garden,https://century21aruba.com//en/d/wayaca-residence-333-home-for-sale-aruba-1149604
181,Little Palms,"US$ 350,028",Wayaca,,Residential,3,2,Garden,https://century21aruba.com//en/d/little-palms-home-for-sale-aruba-1147399
183,Paradera 177 - A,"US$ 360,000",Paradera,New Listing,Residential,3,2,Inland,https://century21aruba.com//en/d/paradera-177-a-home-for-sale-aruba-1150071
185,Alto Vista 28 - V,"US$ 365,000",Alto,Motivated Seller,Residential,3,3,Inland,https://century21aruba.com//en/d/alto-vista-28-home-for-sale-aruba-1148791
187,Tibushi 1,"US$ 369,000",Westpunt,New Listing,Residential,4,3,Inland,https://century21aruba.com//en/d/tibushi-1-home-for-sale-aruba-1150002
189,Tuscany Residence Aruba,"US$ 389,000",Bakval,Under Contract,Residential,2,2&half,Inland,https://century21aruba.com//en/d/tuscany-residence-aruba-home-for-sale-1144662
191,Seroe Blanco 319,"US$ 435,394",Sero,New Listing,Residential,3,3&half,Garden,https://century21aruba.com//en/d/seroe-blanco-319-home-for-sale-aruba-1149620
193,Mazurka 19,"US$ 475,000",Cunucu,New Listing,Residential,4,3,Inland,https://century21aruba.com//en/d/mazurka-19-home-for-sale-aruba-1150012
195,Paradera 233,"US$ 475,000",Cunucu,,Residential,4,3,Inland,https://century21aruba.com//en/d/paradera-233-home-for-sale-aruba-1149272
197,Tuscany Watervillas,"US$ 476,700",Bakval,Under Contract,Residential,2,2&half,Pool,https://century21aruba.com//en/d/tuscany-watervillas-home-for-sale-aruba-1147405
199,Tibushi 28,"US$ 476,700",Bakval,,Residential,2,2&half,Pool,https://century21aruba.com//en/d/tibushi-28-home-for-sale-aruba-1149196
201,Sabana Liber 293,"US$ 599,000",Sabana,Under Contract,Residential,3,2,Pool,https://century21aruba.com//en/d/sabana-liber-293-home-for-sale-aruba-1147904
