Product_name,Alcohol_amount,Alcohol_percent,Price,Category
Glenfarclas 1959,70,46,"4,000",Scotch Whiskey
Glen Grant 1945,75,40,"5,000",Scotch Whiskey
Glen Flagler 8 Year Old,75,43,699,Scotch Whiskey
Highland Park Loki,70,48.7,600,Scotch Whiskey
Glenlivet 1938,75,40,"3,500",Scotch Whiskey
North Port (Brechin) 1976,70,64.1,750,Scotch Whiskey
SMWS 56.4 (Coleburn),70,64.1,750,Scotch Whiskey
Brora 1971,70,50,"6,000",Scotch Whiskey
SMWS 56.5 (Coleburn),70,64.7,750,Scotch Whiskey
Glen Garioch 1970,70,42.5,"1,750",Scotch Whiskey
Balblair 33 Year Old Gift Set,75,45.4,"1,000",Scotch Whiskey
Glenfarclas 1953,70,51.1,"12,000",Scotch Whiskey
Linlithgow 1975,70,51.5,"1,000",Scotch Whiskey
Bowmore 1968,70,45.5,"7,000",Scotch Whiskey
Glenkinchie 15 Year Old,70,60.1,299,Scotch Whiskey
North Port 1970,75,40,700,Scotch Whiskey
Glenfarclas 5 Year Old,75,43,399,Scotch Whiskey
Glen Flagler 8 Year Old,75,40,"1,000",Scotch Whiskey
Bowmore 1980,70,46.7,"2,500",Scotch Whiskey
Longmorn 1967,70,43,"1,350",Scotch Whiskey
Brora 1971,70,50,"6,000",Scotch Whiskey
Glenfarclas 1962,70,40.9,"5,000",Scotch Whiskey
Port Ellen 1979,70,52.5,"4,500",Scotch Whiskey
Glenfiddich Special,75,40,"2,750",Scotch Whiskey
Glenlivet 18 Year Old,70,43,250,Scotch Whiskey
Linlithgow 1975,70,50.5,"1,000",Scotch Whiskey
Scapa 12 Year Old,100,40,299,Scotch Whiskey
Glenlochy 1980,70,60.1,750,Scotch Whiskey
Highland Park 1966,70,43.4,"2,000",Scotch Whiskey
Glen Flagler 5 Year Old,200,40,699,Scotch Whiskey
Knockando 1986,70,40,250,Scotch Whiskey
Glenlivet 1948,70,43,"4,000",Scotch Whiskey
Ardbeg 1972,70,49.5,"3,500",Scotch Whiskey
Ardbeg 1972,70,48.8,"3,500",Scotch Whiskey
Bowmore 1968,70,46,"4,500",Scotch Whiskey
Brora 1971,70,50,"6,000",Scotch Whiskey
Springbank 1966,70,53,"7,000",Scotch Whiskey
Springbank 1967,75,46,"3,000",Scotch Whiskey
Glen Ord 12 Year Old,100,40,225,Scotch Whiskey
Benriach 25 Year Old,70,46,299,Scotch Whiskey
Longmorn 1957,75,40,"2,000",Scotch Whiskey
Glencadam 12 Year Old,75,40,600,Scotch Whiskey
Strathisla 1965,70,43,"2,500",Scotch Whiskey
Springbank 10 Year Old,75,43,500,Scotch Whiskey
Glenugie 5 Year Old,75,40,"1,200",Scotch Whiskey
Glen Grant 1936,75,40,"4,500",Scotch Whiskey
Highland Park 12 Year Old,70,40,350,Scotch Whiskey
Dalmore 12 Year Old,100,43,750,Scotch Whiskey
Glen Elgin 12 Year Old,75,43,299,Scotch Whiskey
Bunnahabhain 1967,70,40.1,"1,250",Scotch Whiskey
Aberlour 10 Year Old,100,43,175,Scotch Whiskey
Strathisla 1937,75,40,"4,000",Scotch Whiskey
Teaninich 12 Year Old,70,43,750,Scotch Whiskey
Longmorn 1968,70,49.8,"2,000",Scotch Whiskey
Glen Grant 38 Year Old,75,40,"2,000",Scotch Whiskey
Deanston Mill 8 Year Old,75,40,299,Scotch Whiskey
Deanston Malt,75,40,175,Scotch Whiskey
Dalmore 20 Year Old,75,43,"3,750",Scotch Whiskey
Highland Park 1956,75,43,"3,000",Scotch Whiskey
Highland Park 1956,75,43,"3,000",Scotch Whiskey
Inchgower 1967,75,46,"3,500",Scotch Whiskey
Glenlossie 1966,75,46,"3,000",Scotch Whiskey
Avonside (Glenlivet) 1938,75,43,"2,750",Scotch Whiskey
Avonside (Glenlivet) 1938,75,43,"2,750",Scotch Whiskey
Strathisla 1937,75,43,"3,500",Scotch Whiskey
Strathisla 1937,75,43,"3,500",Scotch Whiskey
Tomatin 1968,75,40,"1,500",Scotch Whiskey
Tormore 10 Year Old,75,43,500,Scotch Whiskey
Bruichladdich 1964,75,43,"2,000",Scotch Whiskey
Millburn 1966,75,40,"1,000",Scotch Whiskey
Royal Lochnagar 1969,75,40,"1,000",Scotch Whiskey
Glenmorangie 10 Year Old,75,40,225,Scotch Whiskey
Glenmorangie 10 Year Old,75,43,650,Scotch Whiskey
Glenfarclas-Glenlivet 7 Year Old,75,40,350,Scotch Whiskey
Old Fettercairn 1966,75,45,"1,000",Scotch Whiskey
Glenlivet 21 Year Old,75,45.7,"1,200",Scotch Whiskey
Linkwood 1938,75,40,"3,500",Scotch Whiskey
Glenlivet 1949,75,40,"3,150",Scotch Whiskey
Glen Grant 1949,75,40,"3,750",Scotch Whiskey
Glen Grant 1948,75,40,"4,200",Scotch Whiskey
Mortlach 10 Year Old,70,60.5,399,Scotch Whiskey
Glenesk 1974,70,52.7,600,Scotch Whiskey
Linlithgow 1975,70,51.5,"1,000",Scotch Whiskey
Glen Grant 38 Year Old,75,40,"2,000",Scotch Whiskey
Strathisla 1949,70,40,"3,750",Scotch Whiskey
Strathmill Centenary,75,40,700,Scotch Whiskey
Auchentoshan 5 Year Old,75,40,175,Scotch Whiskey
Brora 1983,70,52.9,"1,250",Scotch Whiskey
Laphroaig 10 Year Old,70,40,650,Scotch Whiskey
Talisker 8 Year Old,75,45.8,"1,000",Scotch Whiskey
Tamnavulin 24 Year Old,70,45,275,Scotch Whiskey
Longmorn 1955,75,40,"2,000",Scotch Whiskey
Glenugie 1966,75,40,"1,250",Scotch Whiskey
Cardhu 12 Year Old,75,40,175,Scotch Whiskey
Port Ellen 1977,70,40,"1,200",Scotch Whiskey
Strathisla 8 Year Old,75,57,425,Scotch Whiskey
Dalwhinnie 12 Year Old,70,57.5,299,Scotch Whiskey
Talisker 1957,75,40,"2,750",Scotch Whiskey
Talisker 8 Year Old,75.7,45.8,"1,100",Scotch Whiskey
Glenfarclas 1964,70,54.1,"3,500",Scotch Whiskey
Dalmore 1981,70,44,"6,500",Scotch Whiskey
Brora 1982,70,46,"1,250",Scotch Whiskey
Brora 1981,70,46,"1,250",Scotch Whiskey
Strathisla 8 Year Old,75,40,500,Scotch Whiskey
Glenflagler 1972,70,52.6,"1,100",Scotch Whiskey
Lagavulin 16 Year Old,100,43,850,Scotch Whiskey
Brora 1972,70,47.4,"6,500",Scotch Whiskey
Glenfarclas 175th Anniversary,70,43,350,Scotch Whiskey
Lagavulin 12 Year Old,75,43,"3,000",Scotch Whiskey
Longmorn-Glenlivet 1956,70,40,"2,000",Scotch Whiskey
Glenmorangie Finealta,70,46,475,Scotch Whiskey
Ardbeg 1966,70,42.6,"8,000",Scotch Whiskey
Glenfarclas 1968,70,49.7,"4,000",Scotch Whiskey
Isle of Jura 8 Year Old,75,40,275,Scotch Whiskey
Springbank 25 Year Old,75,43,"1,400",Scotch Whiskey
Tamnavulin-Glenlivet 20 Year Old,75,46,"4,500",Scotch Whiskey
Talisker 30 Year Old,70,57.3,"1,400",Scotch Whiskey
Glenkinchie 1990,70,55.1,225,Scotch Whiskey
Highland Park 1991,70,53.9,250,Scotch Whiskey
Glenrothes 8 Year Old,75,40,750,Scotch Whiskey
Springbank 1977,75,57,"5,500",Scotch Whiskey
Glenfiddich 40 Year Old,75,45.4,"5,000",Scotch Whiskey
Speyside 1958,75,52.8,"10,000",Scotch Whiskey
Glamis 10 Year Old,75,43,"7,500",Scotch Whiskey
Highland Park 12 Year Old,75,40,375,Scotch Whiskey
Longmorn 1969,70,53.8,"2,250",Scotch Whiskey
