Product_name,Alcohol_amount,Alcohol_percent,Price,Category
Springbank 1970,70,54.4,"4,500",Scotch Whiskey
Glenlivet 1956,75,40,"1,500",Scotch Whiskey
Glenfiddich 8 Year Old,75,43,199,Scotch Whiskey
SMWS 58.11 (Strathisla),70,51.4,"1,750",Scotch Whiskey
SMWS 9.39 (Glen Grant),70,51.8,"1,350",Scotch Whiskey
Knockando 1966,75,43,550,Scotch Whiskey
Port Ellen 1980,70,46,950,Scotch Whiskey
Springbank 1969,70,40.9,"3,000",Scotch Whiskey
Benriach 1966 Set With Glass & Miniature,75,47.2,"2,250",Scotch Whiskey
Linlithgow 1982,70,43,700,Scotch Whiskey
Brora 1981,70,43,"1,000",Scotch Whiskey
Tomatin 10 Year Old,75.7,40,"1,200",Scotch Whiskey
Linlithgow 1975,70,58.1,"1,000",Scotch Whiskey
Glen Moray 1986,75,61.1,450,Scotch Whiskey
Blair Athol 8 Year Old,75,40,299,Scotch Whiskey
Glenrothes 1985,70,56.5,399,Scotch Whiskey
Bowmore Sherriff's,75,40,"3,500",Scotch Whiskey
Dalmore 1979,70,54.6,"4,500",Scotch Whiskey
Glenmorangie 10 Year Old,200,40,550,Scotch Whiskey
Bunnahabhain 12 Year Old,75,40,325,Scotch Whiskey
Brora 1982,70,58.6,"1,200",Scotch Whiskey
Brora 1982,70,40,"1,200",Scotch Whiskey
Glenlivet 1955,70,43,"2,250",Scotch Whiskey
Glen Grant 1954,70,40,"2,350",Scotch Whiskey
Port Ellen 1980,70,46,950,Scotch Whiskey
Highland Park 1968,70,43,"1,500",Scotch Whiskey
Port Ellen 1980,70,43,"2,000",Scotch Whiskey
Pride Of Strathspey 1938,75,40,"6,000",Scotch Whiskey
Highland Park 25 Year Old,70,50.7,"1,500",Scotch Whiskey
Brora 1981,70,54.5,"1,750",Scotch Whiskey
Bunnahabhain 12 Year Old,75,43,350,Scotch Whiskey
Longmorn 1973,75,45,"1,500",Scotch Whiskey
Springbank 1965,70,50.6,"5,000",Scotch Whiskey
Bunnahabhain 1988,70,56.2,"1,000",Scotch Whiskey
Glenfarclas 1974,70,42.7,"3,250",Scotch Whiskey
Glenfarclas 1970,70,55.5,"5,000",Scotch Whiskey
Glenfarclas 1969,70,56.1,"4,500",Scotch Whiskey
Glenfarclas 1968,70,41.7,"7,300",Scotch Whiskey
Glenfarclas 1963,70,47.4,"5,000",Scotch Whiskey
Glenfarclas 1962,70,43.4,"5,250",Scotch Whiskey
Glenfarclas 1958,70,41.7,"6,500",Scotch Whiskey
Glenfarclas 1956,70,48.3,"6,500",Scotch Whiskey
Port Ellen 1979,70,64.1,"1,350",Scotch Whiskey
Caperdonich 1968,70,44.5,"1,250",Scotch Whiskey
Miltonduff 13 Year Old,75,43,399,Scotch Whiskey
Glenfarclas 25 Year Old,75,43,"1,000",Scotch Whiskey
Glen Mhor 6 Year Old,75,40,"2,000",Scotch Whiskey
Brora 1981,70,46,"1,200",Scotch Whiskey
Linlithgow 1975,70,50,900,Scotch Whiskey
Mortlach 12 Year Old,75,43,"1,200",Scotch Whiskey
Glenfarclas 1967,70,55.6,"4,500",Scotch Whiskey
Glenfarclas 1976,70,45.9,"5,000",Scotch Whiskey
Glenfarclas 1975,70,44.5,"6,500",Scotch Whiskey
Glenfarclas 1974,70,55.1,"4,000",Scotch Whiskey
Glenfarclas 1971,70,47,"4,000",Scotch Whiskey
Glenfarclas 1966,70,41.7,"3,600",Scotch Whiskey
Glenfarclas 1964,70,42.1,"5,000",Scotch Whiskey
Glenfarclas 1956,70,43.1,"6,000",Scotch Whiskey
Glenfarclas 1955,70,45.4,"6,500",Scotch Whiskey
Convalmore 1984,70,48.2,"1,200",Scotch Whiskey
