Product_name,Alcohol_amount,Alcohol_percent,Price,Category
Ardbeg 15 Year Old & Laphroaig 10 Year Old,100,43,"1,300",Scotch Whiskey
Bruichladdich 27 Year Old,70,50.2,565,Scotch Whiskey
Ardbeg 26 Year Old,70,47.2,"1,250",Scotch Whiskey
Glenfarclas 1959,70,46,"4,000",Scotch Whiskey
Brora 1971,70,50,"6,000",Scotch Whiskey
Bowmore Bicentenary,75,43,"6,000",Scotch Whiskey
Balvenie 1966,70,42.1,"5,000",Scotch Whiskey
Balvenie 1967,70,49.7,"5,000",Scotch Whiskey
Dalmore 1985,70,51.5,"2,500",Scotch Whiskey
Port Ellen 1980,70,62,"1,500",Scotch Whiskey
Knockando 1965,75,43,550,Scotch Whiskey
Pride of Strathspey 1938,75,40,"6,000",Scotch Whiskey
Glenlivet 1954,75,46,"5,000",Scotch Whiskey
St Magdalene 1964,75,40,"1,600",Scotch Whiskey
Glenfarclas 1968,70,54.4,"6,000",Scotch Whiskey
Knockando 1979,100,43,299,Scotch Whiskey
Longmorn 1961,70,40.8,"15,000",Scotch Whiskey
Longmorn 1961,70,45,"15,000",Scotch Whiskey
Pride of Strathspey 1938,75,40,"6,000",Scotch Whiskey
Forties 1975,70,40,350,Scotch Whiskey
Laphroaig 1981,70,56.6,"7,000",Scotch Whiskey
Glendronach 1955,75,40,"2,000",Scotch Whiskey
Glenfiddich Special Reserve,75,43,"1,200",Scotch Whiskey
Mosstowie 17 Year Old,75,40,500,Scotch Whiskey
Glenury Royal 1971,70,61.3,"2,500",Scotch Whiskey
Knockando 1970,75,43,500,Scotch Whiskey
Balvenie 1967,70,49.7,"5,000",Scotch Whiskey
Glenury Royal 1971,75,61.3,"2,250",Scotch Whiskey
Glen Grant 7 Year Old,75,40,500,Scotch Whiskey
Glen Garioch 15 Year Old,70,43,399,Scotch Whiskey
Glenmorangie 30 Year Old,70,44.3,"2,750",Scotch Whiskey
Springbank 1967,70,52,"3,500",Scotch Whiskey
Lochside 1967,70,40.8,"2,000",Scotch Whiskey
Ardbeg 12 Year Old,75,46,"3,500",Scotch Whiskey
Talisker 1967,75,57,"6,750",Scotch Whiskey
SMWS 4.65 (Highland Park),50,57.6,"1,000",Scotch Whiskey
Springbank 1975,70,43,"1,000",Scotch Whiskey
Strathisla 15 Year Old,75,57.1,"2,000",Scotch Whiskey
Inchmurrin 1966,75,52,"1,000",Scotch Whiskey
Glenfarclas 15 Year Old,75,46,700,Scotch Whiskey
Glenfarclas 8 Year Old,75,60,750,Scotch Whiskey
Bunnahabhain 1966,70,40.1,"1,500",Scotch Whiskey
Dalmore 1979,70,47,"6,000",Scotch Whiskey
St Magdalene 1964,75,40,"1,600",Scotch Whiskey
Dalmore 1965,70,53.1,"3,000",Scotch Whiskey
Glenfarclas 6 Year Old,75,40,175,Scotch Whiskey
Springbank 1967,70,43.4,"3,000",Scotch Whiskey
North Port Brechin 1981,70,57.2,"1,275",Scotch Whiskey
Laphroaig 1998,70,55.2,550,Scotch Whiskey
Highland Park 1996,70,51.4,325,Scotch Whiskey
Bunnahabhain 1963,70,43,"1,900",Scotch Whiskey
Highland Park 12 Year Old,100,43,350,Scotch Whiskey
Tullibardine 1964,70,44.2,"2,000",Scotch Whiskey
Glen Grant 20 Year Old,75,45,"2,000",Scotch Whiskey
Port Ellen 1982,70,40,"1,600",Scotch Whiskey
Tamnavulin-Glenlivet 22 Year Old,75,45,600,Scotch Whiskey
Highland Park 1978,70,55,"1,250",Scotch Whiskey
Glenfiddich 50 Year Old,70,43,"25,000",Scotch Whiskey
Longmorn 1961,140,42.9,"30,000",Scotch Whiskey
Macallan Masters of Photography Magnum Edition 7th,70,43.7,"3,250",Scotch Whiskey
Laphroaig 10 Year Old,100,43,"2,350",Scotch Whiskey
Auchentoshan 1966,75,43,"1,350",Scotch Whiskey
Laphroaig 10 Year Old,75,55.7,800,Scotch Whiskey
SMWS 18.5 (Inchgower),70,61.6,"2,000",Scotch Whiskey
Glen Grant 1951,70,40,"3,200",Scotch Whiskey
Glen Grant 1948,70,40,"4,200",Scotch Whiskey
Gordon & MacPhail Strathisla Collection,420,43,"11,000",Scotch Whiskey
Aberlour-Glenlivet Centenary,75,40,"1,500",Scotch Whiskey
Highland Park 1958,75,43,"3,000",Scotch Whiskey
Tomatin 1976,70,46,550,Scotch Whiskey
Springbank 1967,75,50.9,"3,000",Scotch Whiskey
Glenfiddich 10 Year Old,75.7,43,450,Scotch Whiskey
Ardbeg 1975,70,47.3,"3,250",Scotch Whiskey
Bruichladdich 21 Year Old,70,43,450,Scotch Whiskey
Highland Park 12 Year Old,70,40,199,Scotch Whiskey
Glenfarclas 8 Year Old,75,60,399,Scotch Whiskey
Glenrothes-Glenlivet 10 Year Old,75,46,"3,500",Scotch Whiskey
Glen Grant 30 Year Old,75,40,"2,000",Scotch Whiskey
Port Ellen 1983,70,43,"1,000",Scotch Whiskey
SMWS 42.1 (Tobermory),75,53.1,"1,750",Scotch Whiskey
Strathisla 1937,75.7,40,"4,000",Scotch Whiskey
Highland Park 20 Year Old,70,44.7,"4,500",Scotch Whiskey
Glen Grant 15 Year Old,75.7,40,700,Scotch Whiskey
Aberlour-Glenlivet 10 Year Old,70,43,299,Scotch Whiskey
Highland Park 8 Year Old,75,40,399,Scotch Whiskey
Highland Park 12 Year Old,70,40,199,Scotch Whiskey
Strathisla 1948,75,40,"3,000",Scotch Whiskey
Port Ellen 1978,75,50,"1,500",Scotch Whiskey
Dalmore 12 Year Old,70,40,250,Scotch Whiskey
Springbank 1967,75,43.1,"3,750",Scotch Whiskey
Knockando Extra Old Reserve,70,40,350,Scotch Whiskey
Glenmorangie 25 Year Old,70,43,800,Scotch Whiskey
Strathisla 1960,75,40,"1,750",Scotch Whiskey
Auchentoshan 1965,70,48.9,"1,500",Scotch Whiskey
Balvenie 1976,70,52.7,"4,000",Scotch Whiskey
Glen Grant 1949,75,40,"3,750",Scotch Whiskey
Strathisla 1949,75,40,"3,500",Scotch Whiskey
Talisker 1951,75,43,"2,500",Scotch Whiskey
Miltonduff 1966,75,43.6,"1,000",Scotch Whiskey
Linlithgow 1975,75,49.7,"1,000",Scotch Whiskey
Springbank 1965,70,43,"2,750",Scotch Whiskey
Bunnahabhain 1967,75,45.8,"1,250",Scotch Whiskey
Bowmore 1964,75,43.2,"22,500",Scotch Whiskey
SMWS L13.11 (Dalmore),70,59.2,"1,500",Scotch Whiskey
SMWS 4.62 (Highland Park),70,53.5,900,Scotch Whiskey
Linlithgow 1975,70,46,750,Scotch Whiskey
St Magdalene 1964,75,40,"1,600",Scotch Whiskey
Brora 1982,70,46,"1,250",Scotch Whiskey
Cardhu 12 Year Old,75,43,750,Scotch Whiskey
Bowmore 1970,70,43.2,"4,000",Scotch Whiskey
Springbank 1969,70,41,"2,000",Scotch Whiskey
Talisker 1951,75,43,"2,500",Scotch Whiskey
Springbank 1966,70,47.1,"6,000",Scotch Whiskey
Glenury 1968,70,48.8,"1,450",Scotch Whiskey
Glenlivet 1969,70,52.51,"2,000",Scotch Whiskey
SMWS 61.4 (Brora),70,58.3,"2,500",Scotch Whiskey
Tullibardine 10 Year Old,75,40,125,Scotch Whiskey
Springbank 18 Year Old,70,46,"3,000",Scotch Whiskey
Port Ellen 1978,70,61.8,"1,500",Scotch Whiskey
Port Ellen 25 Year Old,70,56,"2,250",Scotch Whiskey
Ardbeg 1974,70,51.3,"3,500",Scotch Whiskey
Avonside (Glenlivet) 1938,75,43,"2,750",Scotch Whiskey
Bowmore 8 Year Old,113,43,"5,000",Scotch Whiskey
SMWS 27.16 (Springbank),75,57.8,"3,000",Scotch Whiskey
SMWS 49.3 (St Magdalene),75,63,"1,100",Scotch Whiskey
Glenrothes 1954,75,40,"2,000",Scotch Whiskey
Avonside (Glenlivet) 1938,75,43,"2,750",Scotch Whiskey
Glen Grant 25 Year Old,75.7,40,"1,000",Scotch Whiskey
Highland Park 1972,70,55.9,"1,000",Scotch Whiskey
Caol Ila 12 Year Old,75,43,"5,000",Scotch Whiskey
Glen Grant 1949,70,40,"4,000",Scotch Whiskey
Mortlach 1936,75,43,"4,500",Scotch Whiskey
Cragganmore 1966,75,52.2,"2,250",Scotch Whiskey
Ardbeg 10 Year Old,75,40,"2,000",Scotch Whiskey
Lochside 1966,70,51.8,"1,750",Scotch Whiskey
Glenkinchie 1964,75,40,"1,250",Scotch Whiskey
Talisker 1957,75,51.1,"7,500",Scotch Whiskey
Ardbeg 1974,70,46,"1,500",Scotch Whiskey
