Product_name,Alcohol_amount,Alcohol_percent,Price,Category
The Listening Station Shiraz 2020,75,14,10.25,Wine & Champagne
Rosso Di Montalcino DOC 2019,75,14.5,27.95,Wine & Champagne
Glaetzer Bishop Shiraz 2019,75,14.5,27.45,Wine & Champagne
Pinot Noir Johanneshof Reinisch 2019,75,13,17.95,Wine & Champagne
Gonzalez Byass Leon XIII Pedro Ximenez 1878,75,9,"1,975",Wine & Champagne
Thistledown Vagabond Grenache 2020,75,14.5,21.95,Wine & Champagne
Pouilly Fume Les Vieilles Terres Mallorie Pabiot 2020,75,13.5,21.25,Wine & Champagne
Albert Ahrens Black 2019,75,14.5,48.95,Wine & Champagne
Elias Mora Crianza 2016,75,15,19.95,Wine & Champagne
Reuilly Domaine Mabillot 2020,75,14.5,18.95,Wine & Champagne
Riesling Glintzberg 2020,75,12.5,18.95,Wine & Champagne
Beaune Beaux & Bons Jean-Claude Rateau 2020,75,14,39.95,Wine & Champagne
Clos Des Fous 2015,75,14.5,14.45,Wine & Champagne
Balnaves of Coonawarra Cabernet Sauvignon 2016,75,14.5,27.95,Wine & Champagne
Ken Forrester The Gypsy 2016,75,14,39.95,Wine & Champagne
