Product_name,Alcohol_amount,Alcohol_percent,Price,Category
Moulin de Gassac Classic Blanc Mas de Daumas 2020,75,12,9.25,Wine & Champagne
M de Minuty Rose 2020,75,13,16.25,Wine & Champagne
Salcheto Chianti Biskero 2020,75,13,12.95,Wine & Champagne
Le Petite Syrah Domaine Mas Montel 2020,75,13.5,9.75,Wine & Champagne
Chateau Cru Godard 2019,75,14.5,16.75,Wine & Champagne
Mezzogiorno Nero d'Avola 2020,75,13,8.25,Wine & Champagne
Vino Lauria Frappato 2020,75,13,14.95,Wine & Champagne
Sylvaner Pierres Rouges Domaine Leon Boesch 2020,75,11.5,16.75,Wine & Champagne
Vegan Wines Case,450,13.5,94.95,Wine & Champagne
Summer Essentials Wines Case,900,13.2,150,Wine & Champagne
Crowd-Pleasing Wines Case,900,13,170,Wine & Champagne
Malterdinger Spatburgunder Bernhard Huber 2019,75,13,27.25,Wine & Champagne
Willunga 100 Shiraz Viognier 2020,75,14.5,13.95,Wine & Champagne
La Giustiniana Lugarara Gavi di Gavi 2021,37.5,13,9.95,Wine & Champagne
Lalande de Pomerol Marius Bielle 2016,75,13.5,35.95,Wine & Champagne
Cloudy Bay Sauvignon Blanc 2021,450,13.5,145,Wine & Champagne
Le Coup de Jus Domaine Bohn 2020,75,13,22.95,Wine & Champagne
Crozes-Hermitage Blanc Laurent Habrard 2019,75,13,26.45,Wine & Champagne
O Casal Albarino Bodegas Boado Chaves 2020,75,13,22.75,Wine & Champagne
IGP Vin des Allobroges Silice Maison des Ardoisieres 2020,75,11,24.95,Wine & Champagne
Beaujolais Village Domaine Andre Colonge 2020,75,14.5,12.45,Wine & Champagne
Niepoort Concisco Branco 2018,75,12.5,24.95,Wine & Champagne
Christophe Mittnacht Riesling 2020,75,13.5,17.25,Wine & Champagne
Lyrarakis Liastros Sundried Sweet Wine 2017,37.5,11.5,14.95,Wine & Champagne
Montagny 1er Cru Grappe d'Or Feuillat-Juillot 2019,75,14,24.95,Wine & Champagne
Soldier's Block Shiraz 2021,75,14,10.25,Wine & Champagne
Henners Gardner Street Rosé Pinot Noir Pinot Meunier 2020,75,13,20.95,Wine & Champagne
Henners Gardner Street Classic Bacchus Chardonnay 2020,75,13,18.95,Wine & Champagne
Jasper Hill Georgia's Paddock Shiraz 2018,75,15.5,54.95,Wine & Champagne
Vina Von Siebenthal Carmenere 2018,75,14.5,18.95,Wine & Champagne
Montecillo Singladuras Tinto Roble 2020,75,14,15.95,Wine & Champagne
GR10 Vinos de Madrid 4 Monos Viticultores 2017,75,13.5,14.75,Wine & Champagne
Inniskillin 2019 Riesling Icewine,37.5,9.5,62.95,Wine & Champagne
The Age of Grace Viognier 2020,75,14.5,24.25,Wine & Champagne
S.C. Pannell McLaren Vale Grenache Shiraz Touriga 2017,75,14,18.95,Wine & Champagne
Mimetic Calatayud Garnacha Gallina de Piel 2020,75,15,13.25,Wine & Champagne
Woodchester Valley Bacchus 2019,75,11.5,13.95,Wine & Champagne
Volnay Domaine Fernand & Laurent Pillot 2018,75,13.5,37.95,Wine & Champagne
Bodegas Garzon Viognier 2021,75,13.5,14.45,Wine & Champagne
El Escoces Volante La Multa Old Vine Garnacha 2019,75,15,10.75,Wine & Champagne
Pouilly Fuisse Les Crays 2019,75,14.5,32.95,Wine & Champagne
Tikves Barovo Single Vineyard 2018,75,15,25.95,Wine & Champagne
Ribeiro 'Superheroe',75,14.5,26.75,Wine & Champagne
Niepoort Moscatel do Douro,75,19.5,21.95,Wine & Champagne
Shafer Vineyards Red Shoulder Chardonnay 2018,75,15,48.95,Wine & Champagne
Vino Nobile di Montepulciano Gracciano della Seta 2018,75,14,21.25,Wine & Champagne
Bellwether Coonawarra Cabernet Sauvignon 2015,75,13,39.75,Wine & Champagne
Domaine Torraccia Porto Vecchio Blanc 2020,75,12.5,19.95,Wine & Champagne
Robert Sinskey Vandal Vineyard Cabernet Franc 2015,75,14,59.95,Wine & Champagne
La Chapelle de Marin Cotes du Rhone 2020,75,14,10.25,Wine & Champagne
