Product_name,Alcohol_amount,Alcohol_percent,Price,Category
Xavier Alexandre Cuvee Rubis Rose Brut NV Champagne,75,12,29.95,Wine & Champagne
Pierre Legras Blanc de Noirs Millesime 2013,75,12,36.25,Wine & Champagne
Lelarge-Pugeot Les Meuniers de Clémence Champagne,75,12.5,52.95,Wine & Champagne
Bolney Eighteen Acre Rose Sparkling Wine,75,12,25.95,Wine & Champagne
Champagne Dehours Extra Brut Rose Cuvee Oeil de Perdrix NV,75,12,44.75,Wine & Champagne
Ruppert Leroy Fosse Grely Champagne,75,12,61.75,Wine & Champagne
Cinzano Prosecco,75,11,9.95,Wine & Champagne
Alta Alella Laieta Gran Reserva Brut Nature Cava,75,12,26.95,Wine & Champagne
Asolo DOCG Prosecco Superiore NV Case Paolin,75,11.5,14.95,Wine & Champagne
Taittinger Brut Prestige Rose NV Champagne,75,12.5,43.95,Wine & Champagne
Krug Grande Cuvee Champagne,37.5,12,114,Wine & Champagne
Charles Heidsieck Brut Reserve Champagne,37.5,12,28.95,Wine & Champagne
Quartet Anderson Valley Brut NV,75,12.5,25.95,Wine & Champagne
Chandon Brut NV Sparkling Wine,75,12,18.95,Wine & Champagne
Philipponnat Royale Reserve Brut Champagne,75,12,42.95,Wine & Champagne
Billecart-Salmon Blanc de Blancs Champagne,75,12,68.95,Wine & Champagne
Larmandier-Bernier Vertus Rose Saignee Champagne,75,12.5,84.95,Wine & Champagne
Larmandier-Bernier 'Longitude' Blanc de Blancs Champagne,75,12.5,59.95,Wine & Champagne
Egly-Ouriet Tradition Brut Grand Cru Champagne,75,12.5,74.95,Wine & Champagne
Veuve Fourny Vertus Blanc de Blancs Brut Premier Cru Champagne,37.5,12,21.95,Wine & Champagne
Bollinger Special Cuvee NV Champagne,150,12,110,Wine & Champagne
Moet & Chandon Ice Imperial Champagne,75,12,49.95,Wine & Champagne
Piper Heidsieck Rose Sauvage NV Champagne,75,12,41.95,Wine & Champagne
Bollinger Special Cuvee NV Champagne,37.5,12,28.95,Wine & Champagne
Moet & Chandon NV Brut Imperial Champagne,150,12,84.95,Wine & Champagne
Mercier Brut NV Champagne,75,12,33.95,Wine & Champagne
Bollinger Special Cuvee NV Champagne,75,12,47.95,Wine & Champagne
Raventos i Blanc De Nit Rosé 2020,75,12,22.95,Wine & Champagne
Laurent-Perrier 2008 Vintage Champagne,75,12,56.25,Wine & Champagne
Pol Roger Winston Churchill 2013 Champagne,75,12.5,235,Wine & Champagne
Billecart-Salmon Demi-Sec Champagne,75,12,46.95,Wine & Champagne
Bruno Sorg Cremant d'Alsace NV,75,12,19.95,Wine & Champagne
Henners Brut NV,75,12,34.95,Wine & Champagne
Rathfinny Estate Blanc de Noirs 2017,75,12,36.95,Wine & Champagne
Perrier-Jouët 2013 Belle Epoque Rosé Champagne,75,12.5,230,Wine & Champagne
Champagne Paul Bara Grand Rose de Bouzy NV,75,12.5,41.95,Wine & Champagne
Roger Coulon Esprit de Vrigny 1er Cru Zero Dosage NV Champagne,75,12,85.75,Wine & Champagne
Eric Rodez Blanc de Blanc Grand Cru Brut NV Champagne,75,12.5,64.25,Wine & Champagne
Joseph Perrier Cuvee Royale Vintage 2012,75,12,62.95,Wine & Champagne
Bolney Blanc de Blancs 2018 Sparkling Wine,75,12.5,33.95,Wine & Champagne
Bolney Cuvee Noir Sparkling Wine,75,12.5,27.95,Wine & Champagne
Pierre Paillard Les Parcelles XVII Bouzy Grand Cru,37.5,12.5,21.95,Wine & Champagne
Sugrue Brut 2017,75,12,49.95,Wine & Champagne
Louis Roederer Collection 242 + 2 Glasses,75,12,79.95,Wine & Champagne
Jacquesson Cuvee 744 Champagne,75,12.5,52.95,Wine & Champagne
Charles Heidsieck Millesime 2012 Champagne,75,12,105,Wine & Champagne
Champagne Vadin-Plateau Renaissance Cumieres 1er Cru NV,75,12,39.95,Wine & Champagne
Rose Campania Remensis Extra Brut Bereche & Fils 2017,75,12.5,78.95,Wine & Champagne
Salvadek Franciacorta Extra Brut Monte Rossa 2015,75,12.5,44.95,Wine & Champagne
Gimonnet Fleuron Blanc de Blancs 2015 Champagne,75,12.5,52.95,Wine & Champagne
Enfant de la Montagne 1er Cru Bertrand Delespierre,75,12,36.95,Wine & Champagne
Philipponnat Clos des Goisses 2011 Champagne,75,13,190,Wine & Champagne
Rathfinny Estate Classic Cuvee 2017,75,12,27.95,Wine & Champagne
Pierre Paillard Les Parcelles XIV Bouzy Grand Cru,37.5,12.5,19.95,Wine & Champagne
L'Ormarins Method Cap Classique Blanc de Blancs 2013,75,12.5,19.95,Wine & Champagne
L'Ormarins Method Cap Classique Brut NV,75,12.5,17.75,Wine & Champagne
Rathfinny Estate Blanc de Noirs 2016,75,12.5,35.95,Wine & Champagne
Taittinger Folies de la Marquetterie Champagne,75,12.5,51.95,Wine & Champagne
Hattingley Valley Rose 2017,75,12,38.75,Wine & Champagne
Champagne De Sousa Brut Tradition Champagne,75,12.5,39.95,Wine & Champagne
Charles Heidsieck Brut Reserve Champagne,150,12,105,Wine & Champagne
Billecart-Salmon 2009 Vintage Champagne,75,12,75.95,Wine & Champagne
Martini Asti,75,7.5,9.75,Wine & Champagne
Luc Belaire Rare Rose Sparkling Wine,75,12.5,23.95,Wine & Champagne
Veuve Clicquot Rosé 2012 Vintage,75,12,72.95,Wine & Champagne
Gosset 12 Ans de Cave a Minima Brut Champagne,75,12,84.95,Wine & Champagne
Champagne Dehours Extra Brut 'Vieilles Vignes' 2011,75,12,49.95,Wine & Champagne
Champagne Collard-Picard Cuvee des Merveilles Rose de Saignee,75,12.5,58.95,Wine & Champagne
"Veuve Fourny Cuvée ""R"" Extra Brut NV Champagne",75,12,48.75,Wine & Champagne
Drappier Quattuor Blanc de Quatre Blancs,75,12,94.95,Wine & Champagne
Drappier Brut Nature 'no added sulphur' NV Champagne,75,12,53.95,Wine & Champagne
Champagne Vouette et Sorbee Blanc d'Argile,75,12,79.95,Wine & Champagne
Jean Velut Rose Saignee Brut Champagne,75,12.5,34.95,Wine & Champagne
Pierre Legras Champagne Orior Rose Brut NV Champagne,75,12,34.95,Wine & Champagne
Pierre Legras Monographie Brut Nature Blanc de Blanc Grand Cru,75,12,38.95,Wine & Champagne
Pierre Legras Coste Beert Blanc de Blancs Grand Cru,75,12,30.95,Wine & Champagne
Lanson Extra Age Rose Champagne,75,12.5,69.95,Wine & Champagne
La Jara Frizzante Rose Spumante Organic,75,10,11.95,Wine & Champagne
Paul Dethune Grand Cru NV Champagne,75,12.5,39.95,Wine & Champagne
Laherte Freres Champagne Extra Brut Vignes d’Autrefois 2013,75,12.5,59.95,Wine & Champagne
Collet Brut 1er Cru Art Déco NV Champagne,75,12.5,36.95,Wine & Champagne
Lelarge-Pugeot 1er Cru Blanc de Blancs NV Champagne,75,12.5,39.95,Wine & Champagne
Henri Giraud Esprit Nature Champagne,75,12,44.75,Wine & Champagne
Philipponnat Royale Reserve Non Dose Champagne,75,12,41.95,Wine & Champagne
Gosset Grand Blanc de Meunier Champagne,75,12,94.95,Wine & Champagne
Clandestin Les Semblables Boreal 2017 Champagne,75,12,54.95,Wine & Champagne
Ruppert Leroy Martin Fontaine Champagne,75,12,60.95,Wine & Champagne
Guillaume Sergent Chemin des Chappes 1er Cru Champagne,75,12,49.95,Wine & Champagne
Jacquart Blanc de Blancs 2012 Champagne,75,12.5,46.95,Wine & Champagne
Adami Prosecco Bosco di Gica,75,11,19.95,Wine & Champagne
Roger Coulon 1er Cru Reserve de l'Hommee NV Champagne,75,12,61.25,Wine & Champagne
Chapel Down Sparkling English Rose NV,75,12,25.95,Wine & Champagne
Henriot Blanc de Blancs Champagne,75,12,44.95,Wine & Champagne
AR Lenoble Rose Terroirs Brut Champagne,75,12,41.95,Wine & Champagne
Armand de Brignac Ace of Spades Brut Gold Champagne,75,12.5,275,Wine & Champagne
Lamiable Grand Cru NV Extra Brut Champagne,75,12.5,36.95,Wine & Champagne
Jacques Lassaigne Les Vignes de Montgueux BdB Champagne,75,12,51.25,Wine & Champagne
Coates & Seely Britagne Brut Reserve NV,75,12,34.75,Wine & Champagne
Digby Leander Pink NV,75,12,34.95,Wine & Champagne
Billecart-Salmon Demi-Sec Champagne,75,12,47.95,Wine & Champagne
Billecart-Salmon Brut Reserve Champagne,37.5,12,25.95,Wine & Champagne
Bottega Rose Gold,75,11.5,22.75,Wine & Champagne
Veuve Fourny Vertus Blanc de Blancs Brut Premier Cru Champagne,150,12,81.75,Wine & Champagne
Larmandier-Bernier 'Latitude' Vertus 1er Cru Champagne,75,12.5,54.95,Wine & Champagne
Bereche & Fils Champagne Brut Reserve,75,12.5,49.95,Wine & Champagne
Chartogne-Taillet Champagne Rose,75,12,49.95,Wine & Champagne
Charles Heidsieck Rose Reserve Champagne,75,12,59.95,Wine & Champagne
Gallimard Les Riceys Cuvee Reserve Champagne,37.5,12,16.75,Wine & Champagne
Bruno Paillard Premiere Cuvee Rose Champagne,75,12,56.95,Wine & Champagne
Veuve Clicquot Rose NV Champagne,75,12.5,56.95,Wine & Champagne
Perrier-Jouet Blason Rose Champagne,75,12,68.95,Wine & Champagne
Bollinger Rose Champagne,37.5,12,34.45,Wine & Champagne
Charles Heidsieck Brut Reserve Champagne,75,12,49.95,Wine & Champagne
Armand de Brignac Ace of Spades Brut Gold Champagne,75,12.5,290,Wine & Champagne
Bollinger Rose NV Champagne,75,12,55.95,Wine & Champagne
Veuve Clicquot Rose NV Champagne,150,12.5,118,Wine & Champagne
Piper Heidsieck Champagne,75,12,34.95,Wine & Champagne
Luc Belaire Rare Luxe,75,12.5,21.95,Wine & Champagne
Charles Heidsieck Blanc des Millenaires 2007,75,12.5,160,Wine & Champagne
All Angels Sparkling Rose 2014,75,12,36.95,Wine & Champagne
Philipponnat 1522 Grand Cru 2014 Extra Brut Champagne,75,12,79.95,Wine & Champagne
Phillipponnat Blanc de Noirs 2014 Vintage,75,12,58.95,Wine & Champagne
Billecart-Salmon Brut Rose Champagne,37.5,12,39.95,Wine & Champagne
Billecart-Salmon Brut Rose Champagne,150,12,155,Wine & Champagne
Hommage a William Deutz La Cote Glaciere 2015 Champagne,75,12.5,94.95,Wine & Champagne
Ernest Remy Oxymore 2010 Champagne,75,12,74.95,Wine & Champagne
Cremant d'Alsace Zero Domaine Leon Boesch,75,11,24.95,Wine & Champagne
Doyard Cuvee Vendemiaire 1er Cru Brut Blanc De Blancs Champagne,75,12,49.95,Wine & Champagne
Domaine La Borderie Trois Contrees Brut NV Champagne,75,12,52.95,Wine & Champagne
Henners Rose NV,75,12,39.95,Wine & Champagne
Valentin Leflaive Extra Brut Blanc de Blancs CV17:50 NV,75,12.5,49.95,Wine & Champagne
Champagne Bruno Paillard NPU 2008 Extra Brut,75,12,199,Wine & Champagne
