Product_name,Alcohol_amount,Alcohol_percent,Price,Category
Chateau de Montifaud VS Fine Petite Champagne Cognac,70,40,32.95,Cognac
Michel Forgeron Barrique 92 Grande Champagne Cognac,50,52,89.95,Cognac
Hine Antique XO,150,40,295,Cognac
Prunier XO,70,40,78.95,Cognac
Chateau de Montifaud L50 Heritage Louis Vallet,70,40,162,Cognac
Jean Fillioux La Pouyade Cognac,70,42,49.95,Cognac
H by Hine VSOP Cognac,70,40,41.45,Cognac
Camus Ile De Re Fine Island,70,40,45.95,Cognac
Jean Fillioux So Elegantissime XO Cognac,70,41,99.95,Cognac
Tesseron Tresor Cognac,70,40,680,Cognac
Camus XO Elegance,70,40,154,Cognac
Prunier 1986,70,58.4,270,Cognac
Prunier 1985 Cognac,70,54.9,275,Cognac
Prunier Extra Cognac,70,40,365,Cognac
Michel Forgeron Barrique 89 Grande Champagne Cognac,50,58,125,Cognac
Michel Forgeron XO Grande Champagne Single Estate,70,45,92.95,Cognac
Remy Martin VSOP Cognac,68.2,40,150,Cognac
Tesseron Lot 76 XO Tradition Cognac,70,40,110,Cognac
Remy Martin XO Excellence,35,40,105,Cognac
Courvoisier VSOP Cognac,70,40,40.95,Cognac
Delamain Tres Vieux Cognac,70,40,350,Cognac
AE Dor XO Vieille Cognac,20,40,41.45,Cognac
Paul Beau Vieille Reserve Cognac,70,40,69.95,Cognac
Maxime Trijol VSOP,70,40,55.75,Cognac
Hennessy XO Cognac,300,40,895,Cognac
Chateau de Beaulon VSOP Folle Blanche Cognac,70,40,52.95,Cognac
Chateau de Beaulon Grand XO 20 Year Old Cognac,70,40,140,Cognac
Ragnaud Sabourin Cognac No.20 Reserve Speciale,70,43,90.95,Cognac
Courvoisier VS Cognac,70,40,30.45,Cognac
AE Dor No.6 Cognac,70,40,225,Cognac
Courvoisier Gala Cocktail Collection,110,25.5,39.95,Cognac
Hine 1978 Vintage Grande Champagne Cognac,70,40,650,Cognac
ABK6 VS Single Estate Cognac,70,40,38.95,Cognac
Delamain Collection Revelation Early Landed 1999 Cognac,70,43.7,275,Cognac
Delamain Collection Plenitude 1988 Cognac,70,42.5,460,Cognac
Jean Fillioux Subtil & So VSOP Grande Champagne Cognac,70,40,51.95,Cognac
Tesseron Extreme Cognac,175,40,"4,200",Cognac
Philbert 2018 Petite Champagne Sauternes Cask Finish Cognac,70,41.5,51.95,Cognac
Philbert Distiller Reserve 2017 Vintage Petite Champagne Cognac,70,40,49.45,Cognac
Philbert Distiller Reserve 2017 Vintage Grande Champagne Cognac,70,40,49.45,Cognac
Philbert VSOP Cognac,70,40,46.25,Cognac
Philbert VS Cognac,70,40,36.75,Cognac
Cognac Patte Blanche Extra Bio,70,40,125,Cognac
Cognac Park Millesimes Fin Bois 1978,70,43,280,Cognac
Drouet & Fils Melina 2012 Cognac,70,42,69.75,Cognac
Fanny Fougerat Le Laurier d'Apollon 2011 Cognac,70,42.2,60.45,Cognac
Fanny Fougerat Lancement Collection Type 73 Cognac,70,49.6,155,Cognac
Frapin 1989 Grande Champagne Cognac,70,40.3,199,Cognac
Martell Cordon Bleu Cognac,70,40,650,Cognac
Delamain Pale & Dry Cognac,68,40,275,Cognac
Cognac Park Millesimes Fin Bois 1977,70,43,295,Cognac
Cognac Park Millesimes Fin Bois 1976,70,42.8,315,Cognac
Cognac Park Millesimes Fin Bois 1975,70,44,330,Cognac
Cognac Park Millesimes Fin Bois 1974,70,40,350,Cognac
Cognac Park Millesimes Petite Champagne 1973,70,43,365,Cognac
