name,location,property,price,bedrooms,bathrooms,Pool,link
Caya Luna 24,Oranjestad,Sold,358.989,3,2,Yes,https://kw-aruba.com//listings/caya-luna-24
Paradera 1E,Paradera,Reduced in price,355.000,3,2,No,https://kw-aruba.com//listings/paradera-1e
Koyari 33-F,Noord,Under contract,336.000,3,2,,https://kw-aruba.com//listings/koyari-33-f
Coba Lodo 12-F,Santa Cruz,Sold,329.000,3,2,No,https://kw-aruba.com//listings/coba-lodo
Boton 9 - K,Santa Cruz,New Listing,325.500,4,2,No,https://kw-aruba.com//listings/boton-9-k
Alto Vista Delight,Noord,Under contract,315.000,2,2,No,https://kw-aruba.com//listings/alto-vista-20
Seroe Pita 34-L,Paradera,Sold,299.000,3,2,Yes,https://kw-aruba.com//listings/seroe-pita-34-l
Ayo 26E,Ayo,Sold,293.821,4,4,No,https://kw-aruba.com//listings/ayo-26e
Fortheuvelstraat 49,San Nicolas,,292.134,4,3,,https://kw-aruba.com//listings/fortheuvelstraat-49
Papaya Stones & Gardens,Paradera,Reduced in price,285.000,3,2,No,https://kw-aruba.com//listings/papaya-stones-gardens
Palisiaweg 46,San Nicolas,,280.000,3,3,No,https://kw-aruba.com//listings/palesiaweg-49
"Watapanastraat 5, Oranjestad",Oranjestad,Reduced in price,278.090,8,6,No,https://kw-aruba.com//listings/watapanastraat-5-oranjestad
Paradera 117G,Paradera,Sold,269.100,3,2,Yes,https://kw-aruba.com//listings/paradera-117g
Weststraat 65 Apartmentcomplex,Oranjestad,Under contract,261.234,7,6,No,https://kw-aruba.com//listings/weststraat-65-apartmentcomplex
Paradera 173,Paradera,New Listing,252.809,5,1,No,https://kw-aruba.com//listings/paradera-173
Cura Cabai 23,Savaneta,Sold,243.000,3,2,No,https://kw-aruba.com//listings/cura-cabai-23
Koeriboeri Residence,Paradera,Under contract,239.000,3,2,No,https://kw-aruba.com//listings/koeriboeri-residence
Boton Residence,Santa Cruz,New Listing,238.764,3,2,No,https://kw-aruba.com//listings/boton-residence
Great Hillweg 23,San Nicolas,Under contract,236.000,2,2,No,https://kw-aruba.com//listings/great-hillweg-23
