name,location,property,price,bedrooms,bathrooms,Pool,link
Palm Aruba 107,Palm Beach,New Listing,"495,000",2,2,Yes,https://remaxaruba.com/property/details/palm-aruba-107
Washington Gardens 49 J,Noord,New Listing,"494,382",3,2,Yes,https://remaxaruba.com/property/details/washington-49-j
Tuscany Daimari Water Villas Unit 60P,Palm Beach,Under Contract,"480,000",2,2,Yes,https://remaxaruba.com/property/details/tuscany-daimari-water-villas-unit-60p
Boroncana Residence,Noord,New Listing,"480,000",7,4,No,https://remaxaruba.com/property/details/boroncana-residence
Tierra del Sol - Las Palmas 22-A,Malmok,,"475,000",3,2,No,https://remaxaruba.com/property/details/tierra-del-sol-las-palmas-22-a
Bushistraat #1,Oranjestad,New Listing,"465,000",4,3,No,https://remaxaruba.com/property/details/Bushistraat-1
Seroe Blanco 56-R,Oranjestad,Reduced,"460,674",6,3,No,https://remaxaruba.com/property/details/seroe-blanco-56-r
Blenchistraat 26 B,Oranjestad,Reduced,"460,000",5,3,Yes,https://remaxaruba.com/property/details/blenchistraat-26-b
Boroncana 239,Palm Beach,New Listing,"429,000",2,2,1 m,https://remaxaruba.com/property/details/boroncana-239
Ponton Plot,Oranjestad,New Listing,"421,348",0,0,No,https://remaxaruba.com/property/details/ponton-plot
Morgenster 41-H,Santa Cruz,New Listing,"404,494",2,2,No,https://remaxaruba.com/property/details/morgenster-51-h
Divi Golf Condo at Eagle beach,Eagle Beach,New Listing,"395,000",0,1,0 m,https://remaxaruba.com/property/details/Unique-Condo-at-Divi-Residence
Harbour House 423S,Oranjestad,New Listing,"389,000",0,0,Yes,https://remaxaruba.com/property/details/harbour-house-423s
Madiki 14 f,Oranjestad,New Listing,"382,000",4,3,No,https://remaxaruba.com/property/details/madiki-14-f
Wariruri Condominiums,Noord,New Listing,"380,800",2,2,Yes,https://remaxaruba.com/property/details/wariruri-condominiums-2
Bubali 73 D,Noord,New Listing,"375,000",2,1,No,https://remaxaruba.com/property/details/bubali-73-d
San Barbola Residence 210,Oranjestad,Under Contract,"366,000",4,2,No,https://remaxaruba.com/property/details/san-barbola-210
Property land at Rooi Hundo,San Nicolas,,"363,589",0,0,No,https://remaxaruba.com/property/details/property-land-at-rooi-hundoe
Mabon 5 H,Savaneta,New Listing,"362,365",5,4,Yes,https://remaxaruba.com/property/details/mabon-7h
Morgenster 37,Oranjestad,New Listing,"362,360",3,2,No,https://remaxaruba.com/property/details/morgenster-37
Sabana Basora 89,Savaneta,New Listing,"360,000",5,3,No,https://remaxaruba.com/property/details/sabana-basora-89
Paradera 1-E,Paradera,New Listing,"355,000",3,2,No,https://remaxaruba.com/property/details/paradera-1e
Modanza 4,Oranjestad,New Listing,"350,000",2,1,No,https://remaxaruba.com/property/details/modanza-4
San Barbola residence 208,Oranjestad,New Listing,"350,000",4,3,No,https://remaxaruba.com/property/details/san-barbola-208
Palma Real 70,Palm Beach,New Listing,"350,000",2,2,Yes,https://remaxaruba.com/property/details/palma-real-70-3
Savaneta 97,Savaneta,New Listing,"337,079",0,0,No,https://remaxaruba.com/property/details/savaneta-97
Gold Coast Diamante 122 D,Malmok,Reduced,"335,000",2,2,Yes,https://remaxaruba.com/property/details/gold-coast-diamante-122-d
Cumana 99 C,Eagle Beach,New Listing,"334,270",4,3,No,https://remaxaruba.com/property/details/cumana-99-c
Santa Cruz 186 D,Santa Cruz,New Listing,"329,500",3,3,No,https://remaxaruba.com/property/details/santa-cruz-186-d
Harbour House Aruba,Oranjestad,,"314,930",2,2,Yes,https://remaxaruba.com/property/details/bay-harbor-marina-2-2
Wayaca 317,Oranjestad,New Listing,"309,000",3,2,1 m,https://remaxaruba.com/property/details/wayaca-317
Tanki Flip 14-G,Oranjestad,Commercial,"308,988",1,2,No,https://remaxaruba.com/property/details/tanki-flip-14-g
Paradera 115 N,Paradera,New Listing,"295,600",4,2,1 m,https://remaxaruba.com/property/details/paradera-115-n
Nune #18 Paradera,Noord,New Listing,"281,000",4,2,No,https://remaxaruba.com/property/details/nune-18-paradera
Warawara Property Land,Santa Cruz,New Listing,"280,898",0,0,No,https://remaxaruba.com/property/details/warawara-property-land
Sombre 32 D,Santa Cruz,New Listing,"279,495",3,2,No,https://remaxaruba.com/property/details/sombre-32-d
Bubali 73B - A4,Noord,,"275,000",2,1,No,https://remaxaruba.com/property/details/bubali-73B
Santa Cruz 26,Santa Cruz,Under Contract,"275,000",5,4,No,https://remaxaruba.com/property/details/Santa%20Cruz%2026
Bubali 73B - A3,Noord,,"275,000",2,1,No,https://remaxaruba.com/property/details/bubali-73b-a3
Bubali 73B - A1,Noord,,"275,000",2,1,No,https://remaxaruba.com/property/details/bubali-73b-a1
Sabana Grandi  34 F,Oranjestad,New Listing,"274,800",2,2,No,https://remaxaruba.com/property/details/sabana-grandi
Rooi Koochi 62-G,San Nicolas,New Listing,"267,000",3,2,No,https://remaxaruba.com/property/details/rooi-koochi-62-g
Kudawecha 15,Noord,Reduced,"266,853",3,1,Yes,https://remaxaruba.com/property/details/kudawecha-15
San Nicolas Villa,San Nicolas,Reduced,"253,000",7,5,No,https://remaxaruba.com/property/details/Casa-golf-1
Noord Cura Cabay 146,Savaneta,New Listing,"250,000",4,3,No,https://remaxaruba.com/property/details/noord-cura-cabay-146
Ponton Property Land,Oranjestad,,"247,191",0,0,No,https://remaxaruba.com/property/details/verlenging-kibrahacha-straat
